date,status,gap,seconds,planned_cost_yuan,theta,day_end_soc_kwh
2025-03-21,0,0.0,0.09702507099973445,15838.485397437471,15529.202107483608,3600.0000000000864
2025-03-22,0,0.0,0.10718201400004546,18373.25926065927,39129.20218354513,8700.0
2025-03-23,0,0.0,0.06048637999992934,41185.75769263697,38948.09884742916,8700.0
2025-03-24,0,0.0,0.061908866000067064,40983.1636127776,38398.42995270092,8700.0
2025-03-25,0,0.0,0.06011329700004353,40677.03163090013,38529.76934646433,8700.0
2025-03-26,0,0.0,0.05704833299978418,41052.750268754164,38806.14134398659,8700.0
2025-03-27,0,0.0,0.06753975999981776,38336.42814560127,14830.815948311872,3600.00000000007
2025-03-28,0,0.0,0.07265137100011998,15286.247999183359,14775.067861290196,3600.000000000017
2025-03-29,0,0.0,0.056546895999872504,17738.42557417266,37334.93513743515,8700.0
2025-03-30,0,0.0,0.05364672099995005,38661.19015101426,36185.80833849068,8700.0
2025-03-31,0,0.0,0.05627392399992459,38190.56292946306,35911.309006502466,8700.0
2025-04-01,0,0.0,0.056397240000023885,38527.44454285568,36266.387777816846,8700.0
2025-04-02,0,0.0,0.06128025699990758,38716.758406023066,36925.781969959346,8700.0
2025-04-03,0,0.0,0.07466169400004219,37294.28976399545,14451.773353267661,3600.0000000000014
2025-04-04,0,0.0,0.10565084400013802,14947.935143001978,14525.175199278736,3600.000000000002
2025-04-05,0,0.0,0.07067260099984196,17424.75252414928,37343.351913259794,8700.0
2025-04-06,0,0.0,0.055400806999841734,39413.83745553025,37473.88995893396,8700.0
2025-04-07,0,0.0,0.07087009300039426,38986.154856837944,37680.61676808192,8700.0
2025-04-08,0,0.0,0.05669170200008011,38903.684255976215,37280.50597593191,8700.0
2025-04-09,0,0.0,0.0573156629998266,38348.98430009919,36977.68695508964,8700.0
2025-04-10,0,0.0,0.07147341300014887,36629.91726340634,13984.051164717894,3599.999999999998
2025-04-11,0,0.0,0.22347057699971629,14488.844223233487,14230.617587469738,3599.9999999999995
2025-04-12,0,0.0,0.19343656499995632,17084.911324546738,36789.42471971705,8700.0
2025-04-13,0,0.0,0.06059514800017496,38401.724379286265,36196.905920079735,8700.0
2025-04-14,0,0.0,0.0580550569998195,38077.929112237376,36710.55486030364,8700.0
2025-04-15,0,0.0,0.0852916600001663,38205.43056836208,36290.4161583144,8700.0
2025-04-16,0,0.0,0.057053928000186716,37506.64269662666,35584.73551417333,8700.0
2025-04-17,0,0.0,0.06186801900003047,33999.03890468173,14190.861683428979,2399.999999999993
2025-04-18,0,0.0,0.15272816100014097,14119.047692059334,14066.06146528436,2400.0000000000023
2025-04-19,0,0.0,0.0914383699996506,16993.311519873812,34326.62891602703,8700.0
2025-04-20,0,0.0,0.06477910900002826,36540.14811525391,34020.79461195027,8700.0
2025-04-21,0,0.0,0.07690147900029842,36307.52940651167,34184.845832860854,8700.0
2025-04-22,0,0.0,0.05560662600009891,36197.3030132423,33892.91647222266,8700.0
2025-04-23,0,0.0,0.05674257900000157,36321.07748907221,33903.78586728909,8700.0
2025-04-24,0,0.0,0.05720580700017308,32805.18391665236,13409.294434432271,2399.9999999999995
2025-04-25,0,0.0,0.06833798500019839,13302.422085775244,13308.380925511665,2400.0000000000005
2025-04-26,0,0.0,0.07030870599965056,16173.909080638776,31673.84154375678,8700.0
2025-04-27,0,0.0,0.06666883699972459,33817.4640944689,31503.50734111757,8700.0
2025-04-28,0,0.0,0.0604548880000948,33972.55881125893,31440.159422579465,8700.0
2025-04-29,0,0.0,0.05667260300015187,35059.15839869186,33334.07323544311,8700.0
2025-04-30,0,0.0,0.055357368999921164,34945.91486935503,33176.68586591041,8700.0
2025-05-01,0,0.0,0.06736582100029409,31887.987503036922,13144.602505733848,2400.0000000000014
2025-05-02,0,0.0,0.08626922900020872,13404.692663167432,13972.642049949842,2399.9999999999986
2025-05-03,0,0.0,0.09770273899994208,16907.630405000877,35817.748931257585,8700.0
2025-05-04,0,0.0,0.058894483000131004,37562.893538117554,37095.18995625265,8700.0
2025-05-05,0,0.0,0.055963754000003973,38246.7028882428,37166.38605535086,8700.0
2025-05-06,0,0.0,0.05570086799980345,38374.16104698909,37302.708125351906,8700.0
2025-05-07,0,0.0,0.055766451000181405,38992.68535597613,38789.46611616411,8700.0
2025-05-08,0,0.0,0.06260596099991744,37827.678059457045,17147.350086235318,2400.000000000002
2025-05-09,0,0.0,0.07752555700017183,16689.537289763488,17135.811831065614,2399.9999999999995
2025-05-10,0,0.0,0.05795856200029448,19628.074495541136,39174.7360639196,8700.0
2025-05-11,0,0.0,0.057535164000000805,41021.605530376866,39831.755226447574,8700.0
2025-05-12,0,0.0,0.057368823000160774,41580.112347517665,40160.80503128688,8700.0
2025-05-13,0,0.0,0.05981801699999778,40947.45710764834,39602.856276630824,8700.0
2025-05-14,0,0.0,0.05751822899992476,41084.22230270515,40152.306092292405,8700.0
2025-05-15,0,0.0,0.06864338700006556,38508.69749354555,17178.325969075024,2399.9999999999995
2025-05-16,0,0.0,0.12383773999999903,16769.544322042937,17317.55982483808,2400.0
2025-05-17,0,0.0,0.07135241199966913,19519.064755042957,38199.74295977185,8700.0
2025-05-18,0,0.0,0.05858847300032721,39694.57311045878,37882.770351392406,8700.0
2025-05-19,0,0.0,0.060341034999964904,39421.33070232555,37560.16748527215,8700.0
2025-05-20,0,0.0,0.0542204049997963,38772.28458630145,37204.77437829239,8700.0
2025-05-21,0,0.0,0.05827674299962382,38804.60327197243,37115.958841690175,8700.0
2025-05-22,0,0.0,0.056156845000259636,35593.47709709658,16211.907947459624,1950.0
2025-05-23,0,0.0,0.14405595799962612,15680.591976683681,16317.449815462545,1950.0
2025-05-24,0,0.0,0.07490958500011402,19072.773896681116,36717.538267068165,8700.0
2025-05-25,0,0.0,0.05988101100001586,37971.43212966116,35749.76600376434,8700.0
2025-05-26,0,0.0,0.07939360699992903,37133.28091982873,35264.43205440751,8700.0
2025-05-27,0,0.0,0.06243662500037317,37918.58485325725,36138.90127303645,8700.0
2025-05-28,0,0.0,0.07504910500028927,37500.50947665662,35640.452800925166,8700.0
2025-05-29,0,0.0,0.06386661200031085,34537.1596974515,15723.485534774807,1950.0
2025-05-30,0,0.0,0.09813340699975015,15223.369053707203,15927.078612674939,1950.0
2025-05-31,0,0.0,0.1502885370000513,18767.423961553148,36742.07718999552,8700.0
2025-06-01,0,0.0,0.06300214800012327,38847.60922649458,36635.82738672872,8700.0
2025-06-02,0,0.0,0.05664293900008488,40671.549740242735,41206.78543686877,8700.0
2025-06-03,0,0.0,0.07776107499967111,42500.55708714058,44300.09372913781,8700.0
2025-06-04,0,0.0,0.059990276000007725,45026.16244988162,46457.28123839646,8700.0
2025-06-05,0,0.0,0.07335223600011886,44438.63992449301,20425.165944957418,2399.9999999999986
2025-06-06,0,0.0,0.0709045739999965,19527.068184248128,21576.403079874253,2400.0000000000027
2025-06-07,0,0.0,0.0811998610001865,24398.965822209135,55032.946316035384,8700.0
