date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v1_total_cost_yuan,savings_vs_v1_yuan
2025-07-07,1,82686.63712048282,1188.3708696379204,83875.00799012074,51562.06250314568,3819.406663520438,55381.46916666612,22431.39331426595,18169.428584555422,6203.560493743542,45,1,338.50612675257935,10,3184.3024828840257,8700.0,8700.0,80347.77878513026,24966.30961846414
2025-07-08,1,87306.14622190202,874.6380587464521,88180.78428064847,54874.92273016455,3824.168855604102,58699.091585768656,22262.594927788698,18032.701891508845,8379.504227701955,31,1,18.093213822307504,1,1641.6885937914751,8700.0,8700.0,81708.50919696625,23009.41761119759
2025-07-09,1,86410.44165417916,767.9922714454895,87178.43392562465,54464.11180483099,2929.6737132440703,57393.785518075056,22508.7332005001,18232.073892405086,8843.049600862963,27,1,401.9303634322173,11,2646.0224368968397,8700.0,8700.0,74843.37039448126,17449.584876406203
2025-07-10,1,80057.58508988432,212.94916179854604,80270.53425168287,52126.64572258182,796.5123202849124,52923.15804286674,15959.327027174279,18597.054892011165,10054.638733186423,12,1,13.915288677081435,2,2431.5822311845545,8700.0,2399.9999999999986,69107.71870657841,16184.560663711673
2025-07-11,1,46381.147411861195,1261.4636394882775,47642.61105134947,27835.13538071299,3366.4898201443275,31201.625200857317,13908.281176607523,11265.707753052091,12481.260477794036,25,1,1081.6992378564842,16,1116.1570940621887,2399.9999999999986,2400.0,48862.651147815355,17661.025946958038
2025-07-12,1,53887.18463313477,139.52430638335937,54026.70893951813,30921.0855768185,464.0939333468975,31385.1795101654,21055.523549917107,11384.974075432858,13271.916131700544,7,1,44.48863675671646,2,1279.4035959402563,2400.0,8700.0,47758.77641871156,16373.596908546162
2025-07-13,1,87953.70811166179,58.78221144605493,88012.49032310785,55476.556492466494,334.29070446596756,55810.84719693246,22225.578040079028,18002.71821246401,14521.91009549283,4,1,8.469777220687092,1,4196.631013304383,8700.0,8700.0,64617.621319189,8806.774122256538
2025-07-14,1,86463.96051382757,188.47583791100257,86652.43635173856,54454.14094671894,904.7433685190954,55358.884315238036,22118.964185501227,17916.360990255995,10642.15393982667,8,1,124.14959881939262,4,3430.8057339612346,8700.0,8700.0,71079.51506129424,15720.630746056202
2025-07-15,1,90598.19592509556,1105.4800945096156,91703.67601960518,57557.80917109538,2907.512444457307,60465.32161555269,22213.399613849848,17992.853687218376,14734.079509640365,13,1,1067.3604435057239,12,5033.888803069952,8700.0,8700.0,65196.28427137851,4730.962655825817
2025-07-16,1,90062.87054451162,346.522331915854,90409.39287642748,56969.48688732376,1277.1520792323645,58246.63896655612,22006.728519062814,17825.450100440878,14093.551074472203,8,1,158.70280059594324,3,5424.0929537298125,8700.0,8700.0,63703.86151935563,5457.222552799511
2025-07-17,1,84104.21371660748,539.0768795865991,84643.29059619409,54503.88671371449,2644.354573097832,57148.24128681233,16352.652889903564,17835.64884082189,13405.870480445734,11,1,0.0,0,3022.9512961197893,8700.0,3599.9999999999995,66072.79290104406,8924.551614231728
