date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v1_total_cost_yuan,savings_vs_v1_yuan,same_risk_no_storage_cost_yuan
2025-02-18,1,80338.00216658467,486.894862726298,80824.89702931097,49653.05285333961,1957.6474933677619,51610.700346707374,23214.318437822647,18803.597934636346,4322.788742791343,31,1,138.53685672550876,7,1767.2511440866265,6000.0,6000.0,51590.14004256722,-20.560304140155495,62631.63016501539
2025-02-19,1,79863.45171007383,1236.79070852556,81100.24241859939,49278.530972346365,4460.993618890715,53739.52459123708,23283.974922062112,18860.019686870313,3796.9598000742585,56,1,288.3697885285661,10,611.4672406510265,6000.0,6000.000000000002,52786.911629313756,-952.6129619233252,65008.70491107034
2025-02-20,1,79764.93631489796,540.4749487263359,80305.4112636243,49200.21912150195,2218.3200942871053,51418.53921578905,23260.530061649086,18841.02934993576,4892.776818577634,34,1,71.50701115936278,4,1650.0366941571265,6000.000000000002,6000.0,51189.23873301501,-229.3004827740442,62713.02653757335
2025-02-21,1,35677.503682564704,579.7622380388385,36257.265920603546,18513.38665835837,2005.4910836940207,20518.87774205239,18216.92702422439,14755.710889621756,7235.787752667571,31,1,75.30827416671342,4,885.5257461235499,6000.0,6000.000000000003,20603.81128925515,84.93354720275966,33822.68655408522
2025-02-22,1,35174.118336227184,838.6211500535778,36012.73948628076,18239.410734362496,3152.154949942353,21391.56568430485,17873.12317155232,14477.22976895738,4772.08320035249,45,1,207.8096054631245,11,652.3227784539322,6000.000000000003,6000.000000000001,23260.85419908947,1869.288514784621,33798.62224830912
2025-02-23,1,78548.44339764726,1121.192901030212,79669.63629867748,48313.097096602345,3818.6999412917594,52131.7970378941,23235.9687128551,18821.13465741263,3722.948559901677,46,1,424.44633629143067,12,1081.7927220339125,6000.000000000001,6000.0,52525.53638615218,393.73934825807373,62848.59643119425
2025-02-24,1,78111.84414428174,384.2745862669901,78496.11873054873,47956.276513931516,1668.1583674105098,49624.43488134203,23200.012945156854,18792.010485577048,5885.082654302258,28,1,46.216208724832086,4,2527.3337880341396,6000.0,6000.0,49250.76266728646,-373.6722140555721,61090.004102539366
2025-02-25,1,77860.9860431498,418.92828830391295,78279.9143314537,47825.68210752762,1440.2633463746733,49265.94545390229,23231.21745926376,18817.286142003646,8044.659780860261,28,1,68.06577628635318,6,3398.89547846145,6000.0,6000.000000000001,49016.569352776314,-249.37610112597758,60686.416679458445
2025-02-26,1,77219.71070272494,635.002026614405,77854.71272933934,47396.27179743052,2558.3206551673557,49954.59245259788,23007.475284213113,18636.054980212622,4668.444392005525,34,1,84.61457391198041,7,2246.4926405626675,6000.000000000001,6000.000000000002,49888.887733625364,-65.70471897251264,61316.70643961159
2025-02-27,1,76628.58436963243,510.6205010349096,77139.20487066734,46946.17266274792,2503.023680547285,49449.1963432952,22946.04263025883,18586.294530509655,5822.872570918167,24,1,10.689051234184888,1,895.6446015387354,6000.000000000002,6000.000000000001,49346.04651416851,-103.14982912669075,61036.57309016465
2025-02-28,1,35000.94268016161,506.2447581213686,35507.18743828298,18091.715628516795,1831.0721897120854,19922.78781822888,17692.04142361046,14330.553553124471,8853.106017796992,31,1,207.81257358017,8,919.3121421860026,6000.000000000001,6000.000000000005,21787.9602217088,1865.172403479919,32248.825331521977
2025-03-01,1,34652.7514346,488.92784120467115,35141.67927580467,17953.397196525828,1813.3073131158212,19766.704509641648,17369.504205567053,14069.298406509317,8182.707543413609,19,1,209.1092298291146,5,1141.622836310229,6000.000000000005,6000.0,20489.86581616961,723.1613065279635,32392.124658678054
2025-03-02,1,75562.29640718781,4429.401200697461,79991.69760788527,46293.044246426,16492.310034379512,62785.354280805506,23030.471764418086,18654.68212917865,3257.6009059791695,48,1,2872.837470043991,21,1169.4435408596999,6000.0,6000.000000000002,65879.62565226495,3094.271371459443,69545.1354301761
2025-03-03,1,76357.92003653433,2746.442546560638,79104.36258309496,46761.34738799102,11298.334340647503,58059.68172863853,23321.284265635513,18890.24025516477,2656.171939290884,61,1,753.7850854990311,19,555.8353844434428,6000.000000000002,6000.000000000002,62534.052181947125,4474.370453308598,68336.49838273977
2025-03-04,1,78320.09349566014,329.16853845242764,78649.26203411257,48227.63513487599,1095.1016310482714,49322.73676592427,23171.646567311487,18769.033719522304,5047.191252990052,23,1,106.51188493974837,8,1634.0901476895444,6000.000000000002,6000.000000000002,50188.51199098679,865.7752250625272,60499.76048347004
2025-03-05,1,79480.65332722699,85.04136033782707,79565.69468756481,48998.17111848397,352.0111200090545,49350.18223849303,23178.40051829,18774.5044198149,9031.326572423059,14,1,11.947104954599581,3,3315.0468862190482,6000.000000000002,6000.0,48997.515190394915,-352.667048098112,60653.61928418598
2025-03-06,1,79020.08764704401,166.1611610343463,79186.24880807837,48789.35310357993,566.7476426128557,49356.10074619279,23172.78569969263,18769.956416751036,8842.765391803428,16,1,44.918751946684665,4,3731.801024043576,6000.0,5999.999999999999,48706.26149167017,-649.8392545226161,60653.581276505276
2025-03-07,1,34300.32958420836,129.5966776869137,34429.92626189528,17813.780175873846,404.578479335276,18218.358655209122,17332.991056203908,14039.722755525163,10214.372427883194,13,1,64.470505182073,5,1963.9583084325013,5999.999999999999,6000.000000000005,19737.01044629875,1518.6517910896291,31047.487598883392
2025-03-08,1,33363.06117728162,178.74720913936022,33541.80838642098,17451.33174104517,460.095918220169,17911.427659265337,16694.837236458756,13522.818161531593,11306.649794827154,16,1,23.514027766811296,2,1418.3793384937876,6000.000000000005,6000.000000000003,17760.687758256692,-150.73990100864467,30670.301459222363
2025-03-09,1,77219.76420468357,245.060158932567,77464.82436361614,47423.23173464303,921.3624675950357,48344.59420223806,23177.289623722103,18773.604595214907,9727.614285108939,14,1,9.463176075799538,1,3319.7121178162524,6000.000000000003,6000.0,47114.12528899563,-1230.4689132424319,59519.42169081473
2025-03-10,1,75477.85700321652,1360.894251405262,76838.75125462178,46174.72412571788,3891.5733667968407,50066.29749251472,23309.308495636644,18880.539881465684,4367.911190450813,34,1,1036.2134610559683,16,2232.9675079803733,6000.0,6000.0,51493.26674854926,1426.9692560345356,59405.19262102407
2025-03-11,1,75481.65677470787,336.5618632263647,75818.21863793423,45949.59677220656,1250.3923506800688,47199.989122886625,23288.972828388134,18864.067990994386,7454.395000540485,25,1,68.48692638317073,5,3531.3745495911126,6000.0,6000.000000000004,47546.11962192884,346.13049904221407,58437.87126344439
2025-03-12,1,74920.20875388828,414.4168293788659,75334.62558326714,45615.951420386686,1243.725028899133,46859.67644928582,23129.434246154175,18734.841739384883,8504.498393164513,28,1,94.52664353204405,7,3767.000118573873,6000.000000000004,6000.000000000002,46222.03095211803,-637.6454971677886,58099.104757027795
