date,status,gap,seconds,objective_yuan,planned_cost_yuan,terminal_penalty_yuan,expected_emergency_cost_yuan,objective_reconstruction_error
2025-09-10,0,0.0,0.12523949999012984,46290.29756837557,43834.45562855278,0.0,2455.841939822791,0.0
2025-09-11,0,0.0,0.13606469999649562,46819.070738449715,43874.18987351062,0.0,2944.88086493909,0.0
2025-09-12,0,0.0,0.10746950001339428,21104.504239736372,19806.356531277466,0.0,1298.1477084589062,0.0
2025-09-13,0,0.0,0.1154722000064794,20771.346611448636,18960.130026400744,0.0,1811.2165850478916,0.0
2025-09-14,0,0.0,0.1312708999903407,44023.77273688377,41316.08515746452,0.0,2707.6875794192542,0.0
2025-09-15,0,0.0,0.1495578000030946,41376.117783821486,39089.10434698753,0.0,2287.0134368339536,0.0
2025-09-16,0,0.0,0.11031250000814907,41710.017287855175,39384.25740176925,0.0,2325.7598860859266,7.275957614183426e-12
2025-09-17,0,0.0,0.1174176000058651,42763.429494248245,40318.11741201744,0.0,2445.3120822308074,0.0
2025-09-18,0,0.0,0.11173090001102537,43060.52414329447,40828.61742494047,0.0,2231.9067183539946,0.0
2025-09-19,0,0.0,0.12673449999419972,18846.56750640186,17874.898749792246,0.0,971.6687566096149,0.0
2025-09-20,0,0.0,0.09954639998613857,19149.814544901197,18225.75115859999,0.0,924.0633863012091,0.0
2025-09-21,0,0.0,0.1699707999941893,45480.4143008322,43499.20684995272,0.0,1981.2074508794733,0.0
2025-09-22,0,0.0,0.11022449997835793,43568.86386680937,41759.82089471235,0.0,1809.0429720970192,0.0
2025-09-23,0,0.0,0.11664339998969808,44452.988386210985,42596.68559909094,0.0,1856.3027871200488,0.0
2025-09-24,0,0.0,0.11049329998786561,44994.547259798645,43021.037274548595,0.0,1973.5099852500514,0.0
2025-09-25,0,0.0,0.14733010000782087,44826.58201698859,43055.83530481328,0.0,1770.746712175312,0.0
2025-09-26,0,0.0,0.17574529998819344,19603.64676890469,18652.25062740213,0.0,951.3961415025608,0.0
2025-09-27,0,0.0,0.1682923999906052,19749.6786641508,18850.74077418758,0.0,898.9378899632236,3.637978807091713e-12
2025-09-28,0,0.0,0.12152729998342693,46341.59863232423,44465.222650068616,0.0,1876.3759822556133,0.0
