date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
2025-04-12,1,30447.544449660163,985.9439620258685,31433.48841168603,16068.386049775318,4024.139889643551,20092.52593941887,18836.828897374377,15257.831406873238,18829.330371184893,58,1,566.4249320000011,28,610.6775576190475,10800.0,10800.0
2025-04-13,1,59496.25694163339,1118.2538329317629,60614.510774565155,36626.8476581109,4615.232751396193,41242.08040950709,19063.254773230652,15441.236366316823,2716.133884317993,57,1,549.385843788906,28,639.0073700000003,10800.0,10800.0
2025-04-14,1,59419.68802028962,1162.4668653109954,60582.15488560062,36498.89193339838,4271.347930553425,40770.23986395181,19215.03904902818,15564.181629712824,4403.265666285265,55,1,625.8993556319825,26,646.5830347619052,10800.0,10800.0
2025-04-15,1,59316.79654635871,890.9429686443256,60207.739515003035,36463.25530226681,3571.0447437579005,40034.300046024706,18047.83917199345,14618.749729314697,6639.221238990946,45,1,540.0708425490876,23,695.8119809523816,10800.0,10800.0
2025-04-16,1,58792.39482932703,1529.7892063809536,60322.184035707985,36124.50997342884,5992.641685500623,42117.151658929455,18716.662104865343,15719.850474340723,1545.780455183362,71,1,1094.487957809525,46,766.3830019047642,10800.0,10178.49536733357
2025-04-17,1,59453.27665431731,997.6806719047615,60450.95732622207,36489.23482559367,3978.0557648671393,40467.290590460805,19621.66121886556,15334.191417881317,3295.145175237829,60,1,667.2837052380955,36,555.4092466666658,10178.49536733357,10800.0
2025-04-18,1,29650.90608020199,811.3058103809522,30462.21189058294,15487.707068235744,3535.898445578522,19023.605513814266,19438.169480657652,15744.917279332705,20414.84250592466,43,1,494.02043609523776,17,295.2824085714282,10800.0,10800.0
2025-04-19,1,29791.971269431644,904.0308658708421,30696.002135302486,15579.664396509694,3262.0222008205933,18841.686597330285,19177.883351383167,15534.085514620367,20267.525048539686,59,1,499.6887239517942,30,491.24848333333335,10800.0,10800.0
2025-04-20,1,58237.55870927034,978.4682779905936,59216.026987260935,35697.02860898703,3583.468020987485,39280.496629974514,19138.680486143814,15502.33119377649,3621.932811560282,56,1,503.79654170487936,29,699.620021904762,10800.0,10800.0
2025-04-21,1,57747.55885537257,1001.8844646502059,58749.44332002277,35382.371943585735,3767.6420738151187,39150.014017400856,18450.796225464288,14986.861458341926,6768.598169567078,53,1,634.186079697825,29,604.6819828571436,10800.0,10753.648315871284
2025-04-22,1,57281.12654747967,1239.0859395083803,58520.21248698805,35299.75477978308,4619.300813607983,39919.05559339106,18907.29568812894,15273.1929916686,2733.1804738610454,60,1,758.9559078893319,34,729.205477142859,10753.648315871284,10800.0
2025-04-23,1,57769.5601472249,1206.5783910476198,58976.13853827252,35446.73204697261,4683.320214780288,40130.0522617529,18424.12478241249,14923.54107375412,4075.6381129474858,54,1,677.6954749523829,31,690.3462804761912,10800.0,10800.0
2025-04-24,1,57134.78633303689,1154.0241317730774,58288.81046480997,35183.246770260674,4678.44695388165,39861.69372414232,17863.259128646077,14469.239894203323,7804.684530367218,55,1,706.7118222492684,30,602.9146533333316,10800.0,10800.0
2025-04-25,1,28794.415179616706,1009.6471030476213,29804.062282664327,14789.578156619069,3899.665944105437,18689.244100724507,19160.518871957236,15520.02028628536,24163.20604699245,49,1,611.4087420952393,23,490.4547661904762,10800.0,10800.0
2025-04-26,1,28690.852206092903,1020.8277704761911,29711.679976569092,14727.98003813216,3941.6691102809555,18669.649148413115,19289.947320537838,15923.282987173918,26274.82200987184,50,1,462.3163957142861,24,778.9717828571428,10800.0,10468.415936068597
2025-04-27,1,54555.61040619785,1458.01566428801,56013.62607048586,33590.452492780605,5648.965917642538,39239.418410423146,19380.40656264454,16021.946710738639,4081.6950352466183,62,1,782.046173238096,29,852.9917057142846,10468.415936068597,10108.618830516862
2025-04-28,1,55015.07771647629,5379.693013209448,60394.77072968574,33792.89088411233,30977.061468969267,64769.95235308159,14653.962773443769,11904.785575662787,1023.6262152380929,86,1,559.7766984761888,35,494.7866390476186,10108.618830516862,10069.645798102047
2025-04-29,1,57016.284625912784,1111.4508829523807,58127.73550886517,35048.06567962465,4258.222888634712,39306.288568259355,17984.502219187947,13957.175088400014,6667.194661410562,59,1,717.5480347619044,36,657.162220952381,10069.645798102047,10747.725474926741
2025-04-30,1,55735.26606121602,1207.366976407089,56942.633037623105,34538.26254339551,4548.892132484409,39087.154675879916,17511.62400177452,14137.368368871426,5311.522971386686,52,1,905.0554045023273,31,585.7626300000004,10747.725474926741,10800.0
2025-05-01,1,55105.19755994191,2556.857948237052,57662.055508178964,34252.03320275731,12076.826495530491,46328.8596982878,18429.708702034088,16311.066438914288,4532.03444505916,68,1,712.7176023809507,24,781.3568866666668,10800.0,9263.330677481483
2025-05-02,1,29953.220512750027,2600.4885376052353,32553.70905035526,15402.839040892992,13545.66991450395,28948.50895539694,19382.4175651081,15595.731701017552,14476.703102931384,63,1,460.419108095238,26,570.1085352380952,9263.330677481483,9378.915707170372
2025-05-03,1,30236.833488906155,1866.3047551255552,32103.13824403171,15690.336621444803,8691.103059766107,24381.439681210908,19039.464730859498,15323.638004767618,19520.13986793983,56,1,437.2105347619044,21,644.2216052380951,9378.915707170372,9488.169515202118
