date,variant,initial_soc_kwh,rho,objective,seconds,recovery_error,emergency_charging_slots
2025-02-26,dp_closed,10270.70193740794,0.8979133060787573,41333.59419968407,0.8087652000249363,7.275957614183426e-12,50
2025-02-27,greedy_closed,10443.070224802454,0.8982002292290022,40879.57407080046,1.0192870000028051,1.4551915228366852e-11,49
2025-02-27,dp_closed,10443.070224802454,0.8982002292290022,40879.57407080046,1.0069535999791697,1.4551915228366852e-11,49
2025-02-28,greedy_closed,10490.685874979694,0.9034539816443761,12302.253913063816,0.26134269998874515,1.8189894035458565e-12,0
2025-02-28,dp_closed,10490.685874979694,0.9034539816443761,12302.253913063816,0.2626194999902509,1.8189894035458565e-12,0
2025-03-01,greedy_closed,10596.804612637463,0.9006486413096256,11996.76307922583,0.2677916000247933,5.4569682106375694e-12,0
2025-03-01,dp_closed,10596.804612637463,0.9006486413096256,11996.76307922583,0.27163370000198483,5.4569682106375694e-12,0
2025-03-02,greedy_closed,10474.811083042505,0.9012943540377426,39466.71045874136,1.0367754000471905,2.1827872842550278e-11,42
2025-03-02,dp_closed,10474.811083042505,0.9012943540377426,39466.71045874136,1.03875639999751,2.1827872842550278e-11,42
2025-03-03,greedy_closed,9590.146809975,0.9079160484465163,40477.91944532212,1.1137435999698937,1.4551915228366852e-11,44
2025-03-03,dp_closed,9629.43639264696,0.9079160484465163,40460.2427434929,0.940157100034412,2.1827872842550278e-11,44
2025-03-04,greedy_closed,9862.269753545615,0.9087588739454682,41599.99406391373,1.0067462000297382,2.1827872842550278e-11,56
2025-03-04,dp_closed,9898.545195424842,0.9087588739454682,41584.14208566753,0.9610180999734439,1.4551915228366852e-11,56
2025-03-05,greedy_closed,10216.608695676723,0.9073650043226625,42027.13680068418,0.7587015000171959,2.1827872842550278e-11,53
2025-03-05,dp_closed,10216.608695676723,0.9073650043226625,42027.13680068418,0.7594364999677055,2.1827872842550278e-11,53
2025-03-06,greedy_closed,10166.291612803288,0.9101005286231577,42130.68040877857,0.8505804999731481,7.275957614183426e-12,52
2025-03-06,dp_closed,10166.291612803288,0.9101005286231577,42130.68040877857,0.8511718999943696,7.275957614183426e-12,52
2025-03-07,greedy_closed,10271.913277678614,0.9131573035552846,11943.953212796976,0.2891502000275068,3.637978807091713e-12,0
2025-03-07,dp_closed,10271.913277678614,0.9131573035552846,11943.953212796976,0.28364660002989694,3.637978807091713e-12,0
2025-03-08,greedy_closed,10683.635482294156,0.9151381068744548,11425.10808649028,0.29911369999172166,3.637978807091713e-12,0
2025-03-08,dp_closed,10683.635482294156,0.9151381068744548,11425.10808649028,0.2985429000109434,3.637978807091713e-12,0
2025-03-09,greedy_closed,10631.553503330166,0.9179474473881948,40641.11061138526,0.8560249999864027,1.4551915228366852e-11,51
2025-03-09,dp_closed,10631.553503330166,0.9179474473881948,40641.11061138526,0.865196599974297,1.4551915228366852e-11,51
2025-03-10,greedy_closed,10114.957007783381,0.9186126504971929,39998.256984926105,0.9737440000171773,4.3655745685100555e-11,52
2025-03-10,dp_closed,10114.957007783381,0.9186126504971929,39998.256984926105,0.9733430999913253,4.3655745685100555e-11,52
2025-03-11,greedy_closed,10040.69775768746,0.9172651417793781,39591.58931601449,0.858827099960763,2.1827872842550278e-11,49
2025-03-11,dp_closed,10040.69775768746,0.9172651417793781,39591.58931601449,0.8552382999914698,2.1827872842550278e-11,49
2025-03-12,greedy_closed,10337.352191933458,0.9176656742575232,39154.34614040134,1.2039461000240408,1.4551915228366852e-11,48
2025-03-12,dp_closed,10337.352191933458,0.9176656742575232,39154.34614040134,1.2108628999558277,1.4551915228366852e-11,48
2025-03-13,greedy_closed,9958.269300255566,0.915670001203218,38789.69572643581,1.0152632999815978,1.4551915228366852e-11,49
2025-03-13,dp_closed,9958.269300255566,0.915670001203218,38789.69572643581,1.00988300004974,1.4551915228366852e-11,49
2025-03-14,greedy_closed,9952.076711640691,0.9150823117873732,11201.21857841299,0.16923470003530383,0.0,0
2025-03-14,dp_closed,9952.076711640691,0.9150823117873732,11201.21857841299,0.16644399997312576,0.0,0
2025-03-15,greedy_closed,10564.083915190477,0.9165750675895075,10831.70001661735,0.181443199981004,1.8189894035458565e-12,0
2025-03-15,dp_closed,10564.083915190477,0.9165750675895075,10831.70001661735,0.1800840999931097,1.8189894035458565e-12,0
2025-03-16,greedy_closed,10274.392617657792,0.9118508301385511,38157.888978006085,0.5886768000200391,0.0,52
2025-03-16,dp_closed,10274.392617657792,0.9118508301385511,38157.888978006085,0.5898150999564677,0.0,52
2025-03-17,greedy_closed,10404.493944030768,0.9121460744464013,37922.46099077029,0.7096267000306398,3.637978807091713e-11,53
2025-03-17,dp_closed,10404.493944030768,0.9121460744464013,37922.46099077029,0.6980152999749407,3.637978807091713e-11,53
2025-03-18,greedy_closed,10455.15194109259,0.9162442430075606,37023.9107434502,0.6952906000078656,3.637978807091713e-11,49
2025-03-18,dp_closed,10455.15194109259,0.9162442430075606,37023.9107434502,0.696460900013335,3.637978807091713e-11,49
2025-03-19,greedy_closed,10329.292108848662,0.9172244298822215,37016.098184850634,0.7209667999995872,3.637978807091713e-11,47
