date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
2025-03-17,1,68313.44696140416,576.6953172369571,68890.14227864111,41691.426786211625,1250.6150178197606,42942.04180403138,18310.29559082339,14647.754022766861,7369.469277251254,26,1,1.4210854715202004e-13,0,1.4921397450962104e-13,10051.75718695228,10255.740971174604
2025-03-18,1,66784.57520794238,777.2717939275185,67561.8470018699,40772.33425787744,2346.571248002478,43118.90550587991,20626.634864472668,16843.454108246442,2652.7078789770053,26,1,2.940425680719727e-13,0,1.6342482922482304e-13,10255.740971174604,10104.763340037298
2025-03-19,1,66836.83019083034,576.8310670271023,67413.66125785744,40835.70441686693,1281.579875840154,42117.28429270708,20488.16842032541,16347.565920571284,3807.588308103316,28,1,1.1368683772161603e-13,0,1.2789769243681803e-13,10104.763340037298,10380.152784362075
2025-03-20,1,65969.24672685955,1112.9281644002815,67082.17489125983,40397.46519445835,3075.297449798682,43472.76264425703,19834.762713833392,16434.742291026618,1473.1926517863874,34,1,1.1368683772161603e-13,0,1.2789769243681803e-13,10380.152784362075,9970.614459004775
2025-03-21,1,30327.758719942976,827.9994966666667,31155.758216609644,15490.35261266035,1781.7728341650002,17272.12544682535,19174.66000930687,15509.608773293827,15457.242463929932,17,1,1.9317880628477724e-14,0,4.263256414560601e-14,9970.614459004775,9994.909830387815
2025-03-22,1,30044.743251255724,743.8190227652359,30788.562274020962,15393.722866631575,1916.5380159723122,17310.26088260389,19667.18949494947,15615.610425782705,10855.783471520861,17,1,8.526512829121202e-14,0,0.0,9994.909830387815,10344.702124972664
2025-03-23,1,63879.48037465271,925.5183915161508,64804.998766168865,39068.917385208915,2324.840694984849,41393.75808019376,19970.881431793325,16459.111679547994,2523.5088972568565,31,1,8.952838470577262e-13,0,1.2789769243681803e-13,10344.702124972664,10030.593547422222
2025-03-24,1,63305.62206984902,999.1811073007163,64304.80317714974,38664.77740997684,2785.4289987361035,41450.20640871295,20219.456572546263,16186.42210235714,2273.271623627284,32,1,5.684341886080801e-13,0,2.1316282072803006e-13,10030.593547422222,10243.19101565037
2025-03-25,1,63208.664773428965,1313.4005408871822,64522.06531431615,38571.67356710562,4259.7546027823455,42831.42816988797,19942.113883805,16471.201208784252,101.02792262872985,30,1,9.663381206337363e-13,0,2.531308496145357e-13,10243.19101565037,9889.75883464792
2025-03-26,1,63888.714164433906,477.70122176666234,64366.41538620057,38894.06391359659,1079.0055249020888,39973.06943849868,19628.595128160214,15624.994995855743,4770.260387229434,22,1,1.9552415242429788e-13,0,2.4868995751603507e-14,9889.75883464792,10194.388899041285
2025-03-27,1,62514.24383164166,1304.960278118941,63819.2041097606,38217.49264137472,3497.1649000272196,41714.65754140194,19614.530485220304,15962.535030597914,1450.2192551382102,37,1,2.8421709430404007e-13,0,9.769962616701378e-14,10194.388899041285,10111.31630174188
2025-03-28,1,29462.919453380957,408.3653333333334,29871.284786714292,14852.241594081257,878.7066381566669,15730.948232237924,19812.315510128075,16047.830920740153,15284.919430659702,12,1,2.842170943040401e-14,0,2.842170943040401e-14,10111.31630174188,10111.477015590304
2025-03-29,1,29075.465037304966,969.7908954067528,30045.25593271172,14720.261272889797,2688.296651374978,17408.557924264776,19671.363883508253,15929.808297288278,18596.491163158415,24,1,0.0,0,7.105427357601002e-14,10111.477015590304,10115.917513760756
2025-03-30,1,60674.85676993316,918.5429960261852,61593.399765959344,36934.45474972883,2169.4296840017414,39103.88443373057,20062.609507982357,16129.50282809101,2314.6733860679965,27,1,7.958078640513122e-13,0,6.039613253960852e-14,10115.917513760756,10250.596261954866
2025-03-31,1,59603.33001482217,1492.7510485831185,61096.08106340528,36354.38382089106,4771.076794987273,41125.460615878335,18815.545919235825,15036.427782773731,365.57344360985786,45,1,5.4106719105107e-13,0,1.9184653865522705e-13,10250.596261954866,10477.445608407405
2025-04-01,1,59976.629752897476,3002.9332730003803,62979.563025897856,36317.44708055159,16039.032751647277,52356.47983219887,17168.62838683081,14397.916877599617,6.679101716144942e-13,41,1,1.0808021144725899e-13,0,4.263256414560601e-14,10477.445608407405,9931.525737
