date,reference_total_cost_yuan,joint_total_cost_yuan,v2b_total_cost_yuan,target_kwh,reference_soc_06_kwh,joint_soc_06_kwh
2025-04-28,64018.75120331282,55990.74286013532,54267.756567187615,9000.0,9000.0,9422.178897630642
2025-04-29,45279.281366762814,41662.39948072424,37509.7676278413,9000.0,9000.0,10060.804426151519
2025-04-30,47256.6924938783,41616.79158315149,38166.19882681597,9000.0,9000.0,9931.296880221542
2025-05-01,54248.805286530645,49421.56466171242,47075.38071177381,9000.0,9000.0,10077.119732937917
2025-05-02,50534.03558138426,41156.23208168561,28058.15664764773,9000.0,8999.999999999998,8259.88284580818
2025-05-03,44777.42886143336,38976.19229400175,21172.501286726518,9000.0,8999.999999999998,9063.129993480074
2025-05-04,50864.3176588195,45561.86411474881,43243.3921403343,9000.0,9000.0,10028.174012857791
2025-05-05,54888.722719152756,47435.1114701011,45360.14231317441,9000.0,9000.0,10049.794709666268
2025-05-06,52247.80488098878,45812.97926943308,43369.4661190358,9000.0,9000.0,10082.256136342083
2025-05-07,51269.811498281306,46493.370166784865,42754.63900389223,9000.0,9000.0,10070.890553270376
2025-05-08,51304.80342997548,45970.41776008061,43607.561757875745,9000.0,9000.0,10072.625917694893
2025-05-09,40406.23500232482,32621.597542215288,17314.611015315473,9000.0,9000.0,9595.838053389403
2025-05-10,40387.15130649829,31438.71256230653,17818.476456233002,9000.0,9000.0,8617.50446654382
2025-05-11,51067.612691600356,45524.46240794075,42437.168681843774,9000.0,9000.0,10104.791678338002
2025-05-12,50829.05399395988,45280.9434557827,43126.758404087566,9000.0,9000.0,10103.154278654041
2025-05-13,48656.86841499869,43129.48991294274,41268.67205718354,9000.0,9000.0,10083.462715638232
2025-05-14,49298.1750633867,43785.84261404194,41679.253960975526,9000.0,9000.0,10095.607259913064
2025-05-15,50567.65078235807,46148.85240570713,42734.99205262362,9000.0,9000.0,10120.441579482054
2025-05-16,40407.704023986415,29928.918211732132,17298.69611542564,9000.0,9000.0,8545.432636304578
2025-05-17,42676.22781445074,30798.91010382065,18638.836939444704,9000.0,8999.999999999998,8156.912972656683
2025-05-18,51017.18627395871,43938.10306278275,41710.7259905651,9000.0,9000.0,10092.095065018997
2025-05-19,47671.96735422946,44189.33912160017,40342.23847686462,9000.0,9000.0,10079.466206637466
2025-05-20,49852.76592797154,42429.32677089258,41255.85589109092,9000.0,9000.0,10089.733507447723
2025-05-21,49203.02099929182,43826.187221850734,41292.79752655875,9000.0,9000.0,10121.05809424068
2025-05-22,46989.7364935724,42555.23139887929,39404.93347820422,9000.0,9000.0,10039.751187008735
2025-05-23,41401.59838220835,30208.743570739694,16455.005860323916,9000.0,8999.999999999998,8662.543613075195
2025-05-24,41517.121671899804,29281.480029074108,16573.269825578573,9000.0,9000.0,7895.820973854875
2025-05-25,46371.741473578404,41480.54045101109,38737.006012835875,9000.0,9000.0,9967.163529054782
2025-05-26,55816.05724834084,46623.380306000356,46021.093246741424,9000.0,9000.0,9550.227479684043
2025-05-27,46272.723404362485,41462.768845628845,38245.011545328976,9000.0,9000.0,10134.729462340492
2025-05-28,51686.90146970419,45502.59706071933,42182.21113212516,9000.0,9000.0,10136.628713781261
2025-05-29,51897.65368893657,43168.87858226541,41909.95466002817,9000.0,9000.0,10113.118596572858
2025-05-30,41176.93166603893,32652.713273551097,17540.94116744252,9000.0,8999.999999999998,8776.059011738571
2025-05-31,41575.627636433,29722.064293360014,17664.945792014816,9000.0,9000.0,8065.786540267879
2025-06-01,93758.37712368868,87352.84035954173,83182.51075026613,9000.0,9000.0,10128.061668725208
2025-06-02,85107.07526286006,76262.2067622176,74343.12358618013,9000.0,9000.0,9203.697693559805
2025-06-03,70050.81888790392,62986.284509618745,58930.316584901484,9000.0,9000.0,9489.969062353837
2025-06-04,66804.01157873144,59180.425866693266,58098.88499284129,9000.0,9000.0,9528.399297079768
2025-06-05,65448.42498713797,57269.18310279396,55879.26749498627,9000.0,9000.0,10082.76546022973
2025-06-06,52760.98559078344,42838.738882237296,30941.347843183084,9000.0,8999.999999999998,5943.568476695592
2025-06-07,43994.541847733955,36683.970193363115,25655.14690323862,9000.0,9000.0,9525.608577904863
2025-06-08,63312.61265848675,60668.79409286943,57109.55695366632,9000.0,9000.0,10083.247649387868
2025-06-09,63600.69495327335,59162.69988474135,56732.52805067666,9000.0,9000.0,10052.85460804993
2025-06-10,63501.691583556676,58360.676975814196,56650.50111213677,9000.0,9000.0,10057.59672181699
2025-06-11,67352.52462923284,59791.26868668723,59210.277212756744,9000.0,9000.0,10083.87776937024
2025-06-12,64157.01753377649,60124.956677824855,58115.10589831367,9000.0,9000.0,10085.038294434104
2025-06-13,39889.12380503402,36050.068381314464,26546.173831163138,9000.0,9000.0,10084.528135814653
2025-06-14,39801.522962254865,34540.76337540521,25835.642925225573,9000.0,9000.0,10090.444443467915
2025-06-15,64414.88914172443,60424.78017174397,59189.45219359331,9000.0,9000.0,10094.922286636503
2025-06-16,65377.913413425194,59412.231990529035,59042.30735070743,9000.0,9000.0,9978.455898895427
2025-06-17,66770.07837133904,60379.186686049914,59431.81231075066,9000.0,9000.0,10080.85643758995
2025-06-18,63315.84963797841,58887.99973122135,57733.24207475344,9000.0,9000.0,10102.41726041647
2025-06-19,63683.45563948182,58334.74063439932,57231.63539846526,9000.0,9000.0,10071.304917636406
2025-06-20,39726.33026216241,34121.78385076436,24048.49190932471,9000.0,9000.0,10166.19271606853
2025-06-21,43033.110963123516,35615.90539749412,23236.781776450218,9000.0,9000.0,10111.427870451835
2025-06-22,60203.153319836536,53887.94324574221,52953.68549111939,9000.0,9000.0,10119.218979027108
2025-06-23,58989.057140616555,54190.93758563229,52437.56401436732,9000.0,9000.0,10099.855497433873
2025-06-24,77190.42460875228,66374.95741235268,66208.60638800927,9000.0,9000.0,10077.395105791908
2025-06-25,63052.43662588661,56497.00053044385,55066.141365025534,9000.0,9000.0,10126.161166457783
2025-06-26,59643.67613538267,53767.64384607305,52158.34207639846,9000.0,9000.0,10111.699945977645
2025-06-27,43706.66687597696,34809.66087295459,21095.519715167822,9000.0,9000.0,8864.412741038557
2025-06-28,43543.84708457738,35272.95477105215,22022.543307538093,9000.0,9000.0,8930.827264106985
2025-06-29,61559.87205490908,54616.6689334027,53524.384521061475,9000.0,9000.0,10113.256055002015
2025-06-30,62096.661791272876,54281.74195998028,54290.89307825882,9000.0,9000.0,10098.379013472952
2025-07-01,78052.47451220588,67895.2629392474,69315.84854865528,9000.0,9000.0,8459.03008233853
2025-07-02,75194.65249678117,67622.97872925218,67379.5841283976,9000.0,9000.0,7866.635094532427
2025-07-03,83551.3468459855,78877.34945356294,73472.73666575551,9000.0,9000.0,8080.517628312722
2025-07-04,56784.53184487237,42551.37812309478,33947.206559203776,9000.0,9000.0,3785.708593271066
2025-07-05,55056.12214667118,41960.864459970304,32396.349679760853,9000.0,8999.999999999998,4037.3962271159867
2025-07-06,82371.38902327984,79896.97722820748,72922.02945564956,9000.0,9000.0,9994.658973457243
2025-07-07,63523.49948428609,57989.328644029745,55389.819166666115,9000.0,9000.0,10044.384959645902
2025-07-08,66468.78789771385,60784.25863036274,58707.441585768654,9000.0,9000.0,9999.572588960118
2025-07-09,64331.248560969965,59288.798437149155,57402.13551807506,9000.0,9000.0,10039.083070872943
2025-07-10,62310.904262074735,58012.300606644334,55890.45804286673,9000.0,9000.0,10007.195325160788
2025-07-11,51351.51415763268,43835.309576070744,31715.37978870825,9000.0,9000.000000000002,9511.21729526286
2025-07-12,47839.41424542249,42214.028972359396,28538.67886715487,9000.0,9000.0,9939.86924041177
2025-07-13,60635.61806287636,57529.721506207745,55819.19719693246,9000.0,9000.0,10070.173961930037
2025-07-14,61182.216824417854,56599.25098206532,55367.234315238034,9000.0,9000.0,10046.95660900035
2025-07-15,65493.06003385715,61091.844713302606,60473.67161555269,9000.0,9000.0,10029.559445974512
2025-07-16,62737.57308449919,60935.46980271161,58254.98896655612,9000.0,9000.0,10032.751098052793
2025-07-17,64566.3354612396,59001.14127332692,59556.02462014566,9000.0,9000.0,10011.188002885718
2025-07-18,46927.38242080317,41772.44097893426,29540.250967329303,9000.0,9000.0,9984.600955566417
2025-07-19,47764.94350488821,42295.65419063676,29047.81520409824,9000.0,9000.0,9947.38961039626
2025-07-20,61445.46562976964,58341.8263998011,56118.86068669952,9000.0,9000.0,10046.169035634388
2025-07-21,62831.88888638047,58006.82017596023,56345.95060973968,9000.0,9000.0,9995.968394974694
2025-07-22,64611.01363202364,59722.19523701609,58991.511101048214,9000.0,9000.0,10022.83989497365
2025-07-23,63945.51506599738,59008.29967122172,58051.93734048536,9000.0,9000.0,9991.353516753457
2025-07-24,65791.25100391892,60548.20786800117,59439.9780525445,9000.0,9000.0,9991.511426804278
2025-07-25,47452.45432360923,42117.30920203462,28266.955235762474,9000.0,9000.0,9877.309369184853
2025-07-26,48346.47846085435,42642.19489769115,28327.562928754192,9000.0,9000.0,9490.763624514548
2025-07-27,66817.81294144732,58244.49327404012,58297.19054523787,9000.0,9000.0,10007.920237810113
2025-07-28,67172.41817252948,60992.739717679644,59436.322507625424,9000.0,9000.0,9999.950920912735
2025-07-29,65876.83572872671,61227.475076370814,59517.167650146584,9000.0,9000.0,9995.230416805052
2025-07-30,63845.26445066486,60101.241979979415,57398.31310896492,9000.0,9000.0,10000.285962151453
2025-07-31,63803.73991552509,59308.74437740612,57213.87926407079,9000.0,9000.0,9984.218547161594
2025-08-01,47579.6104401179,41056.351661417364,27280.8388530554,9000.0,9000.0,9749.779768485785
2025-08-02,46581.054659418325,39811.82348362654,27149.109185572248,9000.0,9000.0,9813.58319465753
2025-08-03,61523.37718924852,56854.22412919809,55011.124685897754,9000.0,9000.0,9980.968047558472
2025-08-04,59116.49167781949,56171.00090952882,52839.26430081302,9000.0,9000.0,10041.710466617371
2025-08-05,58075.09508673442,54591.98952670752,51432.08426822189,9000.0,9000.0,10001.673968579826
2025-08-06,61816.46850825922,57512.47441553903,55620.33884498063,9000.0,9000.0,10014.48469144123
2025-08-07,57688.85633981944,53820.674997691516,50622.265726431295,9000.0,9000.0,10011.991354961076
2025-08-08,46586.81841536597,39489.51602851739,25540.680068169455,9000.0,9000.0,9457.006719895839
2025-08-09,47016.66285581658,39435.175257934425,26044.432289991484,9000.0,9000.0,9377.77512230288
2025-08-10,60313.6499809626,52197.116741235164,51862.6777355015,9000.0,9000.0,9983.288637865884
2025-08-11,59089.799405616526,52765.22449900281,51480.92311493863,9000.0,9000.0,10032.797115953017
2025-08-12,64736.12469971628,60178.855253169866,56175.45306433786,9000.0,9000.0,10032.453554499652
2025-08-13,62723.76443024825,56075.57911166766,53397.798286851365,9000.0,9000.0,10041.307598043393
2025-08-14,61188.84559330731,54458.668007122404,53041.62280433002,9000.0,9000.0,9966.444933756948
2025-08-15,48067.58987284242,39471.71478371109,25908.507269054186,9000.0,9000.0,8500.557794516677
2025-08-16,48672.07803788781,40402.24975667541,25688.472669713785,9000.0,9000.0,9184.131223315972
2025-08-17,57725.872315018896,52081.09343595625,49935.78298668645,9000.0,9000.0,9998.933159412161
2025-08-18,59534.554998177344,52745.62768953843,50741.347807472426,9000.0,9000.0,9973.260099825166
2025-08-19,59041.44453302223,52670.12915592402,50831.952069583494,9000.0,9000.0,10024.633630704333
2025-08-20,69721.37673630704,59451.375086885535,59607.74665006064,9000.0,9000.0,9976.853931646187
2025-08-21,59413.765673145994,54332.16525202658,51601.49551379604,9000.0,9000.0,9986.192965633532
2025-08-22,50220.62963381531,41222.922460347094,28519.370175081498,9000.0,9000.0,8984.778459878076
2025-08-23,47626.409375498646,41287.69614464484,25846.09162457296,9000.0,9000.000000000002,9608.547011132741
2025-08-24,58698.86261815689,55138.13472461701,51293.899935388836,9000.0,9000.0,10003.144691971793
2025-08-25,63889.716389080844,56662.88939513812,56188.09369433641,9000.0,9000.0,9962.063713600579
2025-08-26,59162.28827627602,54162.23425807428,51991.94298438412,9000.0,9000.0,10017.065079130087
2025-08-27,59961.56547655973,54642.995889603204,52025.32223283162,9000.0,9000.0,9989.270492633743
2025-08-28,69117.69333530683,58545.38196259363,60639.97303693501,9000.0,9000.0,9978.903510384616
2025-08-29,46694.213201165105,40498.73774179735,26959.02779458969,9000.0,9000.0,9889.658671198384
2025-08-30,47777.959211523696,38986.47506520979,26953.19515204198,9000.0,9000.0,8827.612776436228
2025-08-31,59209.02963294459,55640.22644186091,51480.292346373775,9000.0,9000.0,9930.762682769453
2025-09-01,55061.86120724812,53702.399931850756,51078.80867380731,9000.0,9000.0,9953.285405556704
2025-09-02,53837.27123724797,51079.38001962324,50227.892529978766,9000.0,9000.0,9961.814497512205
2025-09-03,53087.50668203746,51876.14981991571,50017.61435664379,9000.0,9000.0,9957.511453052512
2025-09-04,52357.50574991306,51369.214081082995,49706.495697531296,9000.0,9000.0,9957.705847782812
2025-09-05,39869.07610041154,33647.21957992792,24970.715652418025,9000.0,9000.0,9867.325665883356
2025-09-06,40732.162058054935,33743.13258823134,24766.926204208576,9000.0,9000.0,9860.169665871399
2025-09-07,53478.511247658906,49651.497957426225,48858.65755921567,9000.0,9000.0,9953.862482923818
2025-09-08,56009.55590688332,47001.65369529045,49676.89230313807,9000.0,9000.0,9938.855230357169
2025-09-09,50930.611400820184,46086.071993416655,44408.67797461025,9000.0,9000.0,9974.530775953186
2025-09-10,62609.797660880286,51592.280232302706,52352.452018460506,9000.0,9000.0,9943.795554826555
2025-09-11,52028.259264156746,45419.45523341597,44702.84939114124,9000.0,9000.0,9952.264123191857
2025-09-12,41441.88864531826,32787.04925764,20690.031441292856,9000.0,9000.0,9839.241206566328
2025-09-13,40938.59372974598,33608.03960421455,20488.72866388101,9000.0,9000.0,9869.181206440071
2025-09-14,56411.78992523723,49417.93780202512,47408.486174004676,9000.0,9000.0,9956.44609736139
2025-09-15,57546.01154408456,50758.92720120754,47657.24826875585,9000.0,9000.0,9891.787058724309
2025-09-16,59121.780130283165,53706.53481271543,50252.21746460302,9000.0,9000.0,9941.20619745497
2025-09-17,57631.4138072155,50717.493184384686,47328.080888639015,9000.0,9000.0,9903.547890684238
2025-09-18,55430.14331977518,49647.608273585574,45478.029818328636,9000.0,9000.0,9961.347240133935
2025-09-19,42468.18595279025,31485.145705604824,21458.112811563107,9000.0,9000.0,7174.111891700475
2025-09-20,42223.318440012496,33334.93348420927,21267.7144746398,9000.0,9000.0,8261.01032810944
2025-09-21,54044.185652764434,48773.4121606653,45448.656764994535,9000.0,9000.0,9883.646560485193
2025-09-22,57818.96387236893,53713.61523350357,49341.890763573974,9000.0,9000.0,9912.71266029156
2025-09-23,59543.05478373696,55585.340875081645,50462.25653844215,9000.0,9000.0,9915.361391897848
2025-09-24,56373.06399623729,51072.05398188088,46234.58384440667,9000.0,9000.0,9905.946372329692
2025-09-25,56358.52194395484,50319.81978316053,47701.330359999774,9000.0,9000.0,9929.99649627144
2025-09-26,39912.96063010755,34482.02745601831,19988.40110848137,9000.0,9000.000000000002,9786.29940843511
2025-09-27,44541.27920779812,35150.75120999524,24439.19038554347,9000.0,9000.0,9430.06503910395
2025-09-28,57213.74095661956,49918.817638223685,47100.88306689144,9000.0,9000.0,9926.180814507756
