date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v2b_total_cost_yuan,difference_vs_v2b_yuan
2025-06-09,1,88759.41218343958,908.1382975626501,89667.55048100222,56069.58693847932,3868.2912512457983,59937.87818972512,19045.089819851353,15589.57402013329,15279.321947950824,42,1,425.52874288628266,18,857.8412216814252,7204.385861568523,7023.217788175529,56732.52805067666,3205.35013904846
2025-06-10,1,89226.59784736682,896.2715862369121,90122.86943360373,56425.109997303836,4155.448285792117,60580.558283095954,19669.660261012305,15663.47571196022,14498.240651218313,31,1,251.41068132085113,11,705.1846127338194,7023.217788175529,7322.050120908579,56650.50111213677,3930.0571709591823
2025-06-11,1,89994.43906110578,755.524464637266,90749.96352574303,56716.83577244214,3512.525661903332,60229.36143434547,22820.908432735574,18430.65433484387,10275.263111184677,37,1,171.9192675906608,13,612.5353201379888,7322.050120908579,7382.362893877411,59210.277212756744,1019.0842215887242
2025-06-12,1,91017.39823868741,849.0834324300189,91866.48167111744,57788.140375192605,4010.9197595474734,61799.06013474008,19105.695318157057,15468.300485020587,15776.695404647628,29,1,362.9060062677423,13,567.1263526817429,7382.362893877411,7390.488141307002,58115.10589831367,3683.9542364264125
2025-06-13,1,44618.32721162432,1052.2061236722875,45670.533335296604,25689.359954284,4430.780058883399,30120.140013167398,12739.555125658288,9950.30986861993,14535.974378258243,51,1,849.4995864925835,35,213.41324565638317,7390.488141307002,7800.187900377316,26546.173831163138,3573.96618200426
2025-06-14,1,44702.492564988934,799.4356072142944,45501.928172203225,25726.52558042058,2903.125772706429,28629.65135312701,11745.419540981244,9603.922660755174,17167.088541977162,38,1,569.895226779839,24,235.67670337826334,7800.187900377316,7700.040308643571,25835.642925225573,2794.0084279014372
2025-06-15,1,92803.21458547458,765.1963078121189,93568.4108932867,59189.45219359331,3836.5350170448733,63025.98721063818,19209.69156942473,15029.487638350913,18761.232628879552,32,1,231.42389264094982,8,515.0359633589011,7700.040308643571,8289.332011847036,59189.45219359331,3836.535017044873
2025-06-16,1,92232.98249222884,830.3121994548151,93063.29469168365,58757.389267547194,4292.443146021485,63049.83241356868,19377.149186156672,15958.859767195874,16950.952456056195,32,1,144.7077169975373,9,706.6099014654183,8289.332011847036,7996.699871392625,59042.30735070743,4007.5250628612484
2025-06-17,1,90870.42003817607,1073.1339973191955,91943.55403549527,57639.68223507069,5212.724907031449,62852.40714210214,19484.55539425916,16067.180916005867,13889.168340575307,32,1,443.9135360254164,12,958.9444132423437,7996.699871392625,7680.376486219353,59431.81231075066,3420.594831351482
2025-06-18,1,91083.40696527174,811.0640757007502,91894.4710409725,57658.26437640875,4054.436176093606,61712.70055250235,17656.574909884945,14152.97812923411,17462.483360321665,32,1,175.72305405598468,9,663.2186595811477,7680.376486219353,7845.762650411239,57733.24207475344,3979.458477748907
2025-06-19,1,89317.99413539446,824.1960644389299,90142.19019983339,56570.69881744806,3614.3561333798207,60185.05495082788,18683.323679293077,15298.029641888032,18497.391962428348,35,1,328.188543236892,14,588.9446955031678,7845.762650411239,7662.943248566077,57231.63539846526,2953.4195523626186
2025-06-20,1,41488.49748435552,997.5942883631296,42486.091772718646,24010.234202922184,4050.200832317716,28060.4350352399,11442.460080426512,9099.891257016901,17742.942099309035,40,1,713.4939953602914,29,344.2276244487054,7662.943248566077,7850.1670353756035,24048.49190932471,4011.9431259151897
2025-06-21,1,39739.302982359855,995.2635421192632,40734.566524479116,22991.404566630357,4342.134570608977,27333.53913723933,13034.208276400086,10316.690982375167,18682.3088304542,49,1,647.1179668584211,34,507.2595428251838,7850.1670353756035,8117.964503718837,23236.781776450218,4096.757360789114
2025-06-22,1,83497.93640205859,718.734454609629,84216.67085666822,52452.49166445232,3309.8235775953567,55762.315242047676,17840.71256635389,14912.252042875944,13830.869233190275,30,1,217.60772516308555,11,487.15429542233005,8117.964503718837,7605.436876908512,52953.68549111939,2808.6297509282886
2025-06-23,1,82935.17947760085,782.0728926249693,83717.25237022582,51974.29625465989,3568.7195376167365,55543.01579227662,19751.498271999608,16057.467278801721,12961.935377027923,41,1,306.3959085161574,13,666.6097951826372,7605.436876908512,7540.155011928471,52437.56401436732,3105.4517779093003
2025-06-24,1,81640.10572693076,3061.6929469001293,84701.7986738309,51031.64822967428,14384.408337614404,65416.05656728869,21895.73008109588,18165.84488595774,4703.1212286927475,63,1,665.109766746565,27,646.2583015669367,7540.155011928471,7062.0399894061675,66208.60638800927,-792.5498207205819
2025-06-25,1,82476.91869765201,1124.5283447587092,83601.44704241073,51592.94822162669,5267.967271649252,56860.91549327594,20094.217674782103,16032.801040230586,9102.609041192534,36,1,242.1430663282761,10,517.124478025305,7062.0399894061675,7332.612518676069,55066.141365025534,1794.7741282504066
2025-06-26,1,81814.91325383095,882.5051960257911,82697.41844985673,51194.95104281148,4321.159763828936,55516.11080664042,19820.65288870722,16240.65315138834,11570.034879204535,40,1,214.62606466264265,8,611.1553177626749,7332.612518676069,7126.0299503032975,52158.34207639846,3357.768730241958
2025-06-27,1,36403.46533766615,1031.1231262901135,37434.588463956265,20983.955585076474,4164.716096503881,25148.671681580356,15208.580450301393,11940.348598831131,14394.71074581934,38,1,757.620280669449,26,391.7093396076552,7126.0299503032975,7546.698356873294,21095.519715167822,4053.1519664125335
2025-06-28,1,36468.23822690768,1290.4945197591792,37758.73274666686,20747.949288703167,5214.787899366246,25962.73718806941,14442.482406056792,11715.49878786588,13254.823011809282,53,1,862.619650880755,34,443.3834382700726,7546.698356873294,7527.7116469178745,22022.543307538093,3940.1938805313184
2025-06-29,1,80812.80537726873,1074.9674738085268,81887.77285107726,50395.11788235803,4268.135786056432,54663.253668414465,19704.549298966092,16052.180047660408,8967.635066438237,44,1,500.44785812131147,19,949.0749170492367,7527.7116469178745,7426.050407475793,53524.384521061475,1138.8691473529907
2025-06-30,1,81374.46838315079,1330.6494880414168,82705.1178711922,50811.29886792187,6202.460860243689,57013.759728165554,19308.79402485647,15882.80453907469,9401.444402077088,40,1,406.04097596745856,12,833.4403289098193,7426.050407475793,7156.404430874742,54290.89307825882,2722.866649906733
