date,alpha,beta,base_purchase_kwh,safety_purchase_kwh,reserve_min_kwh,reserve_max_kwh,reserve_segments,end_soc_kwh
2025-04-16,0.7,0.0,63411.125760508185,0.0,1200.0,10424.650257023166,35,6386.2009685062585
2025-04-17,0.7,0.0,62256.96071154633,0.0,1200.0,10425.985817673378,38,6582.4835408481
2025-04-18,0.7,0.0,28662.487320280867,0.0,1200.0,10267.197036279835,28,6992.838291181951
2025-04-19,0.7,0.0,28533.749621708685,0.0,1200.0,10267.706062451825,28,6804.50062468606
2025-04-20,0.7,0.0,61814.73144195274,0.0,1200.0,10431.592217053416,37,6805.318686954109
2025-04-21,0.7,0.0,61589.53186620351,0.0,1200.0,10421.586187908424,39,6304.429443833098
2025-04-22,0.7,0.0,60953.583801929075,0.0,1200.0,10405.408555966937,38,6567.221298832261
2025-04-23,0.7,0.0,61523.6354042007,0.0,1200.0,10413.783282486447,39,6682.791969044519
2025-04-24,0.7,0.0,60416.68709625399,0.0,1200.0,10358.212312349995,27,6568.503031472249
2025-04-25,0.7,0.0,27609.05705109131,0.0,1200.0,10122.26063202045,31,6486.584918503134
2025-04-26,0.7,0.0,27464.525024154493,0.0,1200.0,10120.207642366424,31,6336.6255253945
2025-04-27,0.7,0.0,57323.340456883816,0.0,1200.0,10348.423599896187,30,6282.917662955213
2025-04-28,0.7,0.0,57415.79763243956,0.0,1200.0,10340.059901108543,26,6315.662810485663
2025-04-29,0.7,0.0,59288.18134961121,0.0,1200.0,10391.916409731235,40,6437.906165064116
2025-04-30,0.7,0.0,58984.08433914275,0.0,1200.0,10390.552837867137,44,6370.370023035521
2025-05-01,0.7,0.0,58568.23502587691,0.0,1200.0,10375.114594247027,45,5376.364474932813
2025-05-02,0.7,0.0,27554.395030188185,0.0,1200.0,10030.785836089544,29,5629.655325159012
2025-05-03,0.7,0.0,28301.886154790103,0.0,1200.0,9967.656808818829,25,5920.1824210874975
2025-05-04,0.7,0.0,63102.86275561037,0.0,1200.0,9928.79024324629,38,5743.449146669737
2025-05-05,0.7,0.0,64145.38911650079,0.0,1200.0,9837.217833744835,37,5996.073010427762
2025-05-06,0.7,0.0,63852.4720495908,0.0,1200.0,9761.330903576494,35,5801.354798916876
2025-05-07,0.7,0.0,65124.84288491182,0.0,1200.0,9760.7929972887,35,6093.227126655847
2025-05-08,0.7,0.0,66901.78627954863,0.0,1200.0,9756.826491236312,33,6750.016300821468
2025-05-09,0.7,0.0,31267.221950853494,0.0,1200.0,9285.686000020103,27,7396.870602583464
2025-05-10,0.7,0.0,31234.709808318767,0.0,1200.0,9304.6683042315,27,7134.010788946678
2025-05-11,0.7,0.0,67722.49817024103,0.0,1200.0,9861.642609634935,35,6714.081611176315
2025-05-12,0.7,0.0,68727.9956937135,0.0,1200.0,9887.56244552154,39,7222.353353623524
2025-05-13,0.7,0.0,67700.0352493536,0.0,1200.0,9920.040552765546,33,6993.053812391818
2025-05-14,0.7,0.0,67999.76980080357,0.0,1200.0,10104.041337850718,35,7103.492317658632
2025-05-15,0.7,0.0,68015.17433557706,0.0,1200.0,10139.186651962082,36,7828.71391771134
2025-05-16,0.7,0.0,31211.441270112613,0.0,1200.0,9945.779530259824,29,7558.56138105883
2025-05-17,0.7,0.0,31004.940354455466,0.0,1200.0,9984.401479543312,24,7330.521738909703
2025-05-18,0.7,0.0,65181.90660079736,0.0,1200.0,10086.551493646994,34,7470.133239262411
2025-05-19,0.7,0.0,65163.94265019406,0.0,1200.0,10149.042499547832,34,6996.440529546848
2025-05-20,0.7,0.0,64046.21859650413,0.0,1200.0,10155.592186324964,34,6816.424015202598
2025-05-21,0.7,0.0,64148.7611598979,0.0,1200.0,10238.136792073787,37,6903.938196247973
2025-05-22,0.7,0.0,63709.882328462074,0.0,1200.0,10120.323159239575,39,7596.410894736671
2025-05-23,0.7,0.0,29771.395373819865,0.0,1200.0,9929.353316312243,26,7538.98761518801
2025-05-24,0.7,0.0,30104.117748178345,0.0,1200.0,9952.832688028602,26,7515.171185011987
2025-05-25,0.7,0.0,62412.904251561915,0.0,1200.0,10102.006900265542,34,7117.213941801929
2025-05-26,0.7,0.0,60968.496107615254,0.0,1200.0,10181.41788201808,35,7060.230379731104
2025-05-27,0.7,0.0,62502.51248617453,0.0,1200.0,10197.471988480826,37,6846.537153051781
2025-05-28,0.7,0.0,61811.46066421616,0.0,1200.0,10152.507147841548,35,7101.018547451032
2025-05-29,0.7,0.0,62354.5969212483,0.0,1200.0,10182.615121119621,34,6880.789498015611
2025-05-30,0.7,0.0,29422.056120006397,0.0,1200.0,10093.602080874229,26,7006.718144395178
2025-05-31,0.7,0.0,29917.136312521383,0.0,1200.0,10093.08655264867,26,7345.763135971138
2025-06-01,0.7,0.0,64548.185935729576,0.0,1200.0,10315.602383288735,31,5146.14649795653
2025-06-02,0.7,0.0,67613.71394176109,0.0,1200.0,10198.682001059036,40,5099.245996812885
2025-06-03,0.7,0.0,70251.48578648007,0.0,1200.0,10119.575476212409,40,5529.142593828208
2025-06-04,0.7,0.0,73837.98032427127,0.0,1200.0,10019.144846038638,38,5749.560919030428
2025-06-05,0.7,0.0,76901.4906415957,0.0,1200.0,9792.50844628679,39,5789.18514968841
2025-06-06,0.7,0.0,35235.91747405392,0.0,1200.0,8994.394455287287,31,6058.988664891987
2025-06-07,0.7,0.0,38365.27178080956,0.0,1200.0,8838.618761788246,29,6358.126657117332
2025-06-08,0.7,0.0,90116.97531631117,0.0,1200.0,9445.314673081462,33,7204.385861568523
2025-06-09,0.7,0.0,88759.41218343958,0.0,1200.0,9445.314673081462,35,7023.217788175529
2025-06-10,0.7,0.0,89226.59784736682,0.0,1200.0,9445.314673081462,34,7322.050120908579
2025-06-11,0.7,0.0,89994.43906110578,0.0,1200.0,9630.58355760637,34,7382.362893877411
2025-06-12,0.7,0.0,91017.3982386874,0.0,1200.0,9764.109670435906,33,7390.488141307002
2025-06-13,0.7,0.0,44618.32721162432,0.0,1200.0,9645.510928822836,28,7800.187900377316
2025-06-14,0.7,0.0,44702.492564988934,0.0,1200.0,9721.726464507003,29,7700.040308643571
2025-06-15,0.7,0.0,92803.21458547458,0.0,1200.0,10015.441469550628,33,8289.332011847036
2025-06-16,0.7,0.0,92232.98249222884,0.0,1200.0,10032.438739434501,34,7996.699871392625
2025-06-17,0.7,0.0,90870.42003817607,0.0,1200.0,9889.734173879331,38,7680.376486219353
2025-06-18,0.7,0.0,91083.40696527174,0.0,1200.0,9965.260582838562,42,7845.762650411239
2025-06-19,0.7,0.0,89317.99413539446,0.0,1200.0,9972.712711284797,41,7662.943248566077
2025-06-20,0.7,0.0,41488.49748435552,0.0,1200.0,9723.089013954384,37,7850.1670353756035
2025-06-21,0.7,0.0,39739.302982359855,0.0,1200.0,9850.494146321187,33,8117.964503718837
2025-06-22,0.7,0.0,83497.93640205859,0.0,1200.0,10046.935311891499,31,7605.436876908512
2025-06-23,0.7,0.0,82935.17947760085,0.0,1200.0,10070.991818858789,31,7540.155011928471
2025-06-24,0.7,0.0,81640.10572693076,0.0,1200.0,10059.481765450415,32,7062.0399894061675
2025-06-25,0.7,0.0,82476.918697652,0.0,1200.0,10017.882372505153,32,7332.612518676069
2025-06-26,0.7,0.0,81814.91325383095,0.0,1200.0,10088.614688689197,30,7126.0299503032975
2025-06-27,0.7,0.0,36403.46533766615,0.0,1200.0,9872.746434311199,26,7546.698356873294
2025-06-28,0.7,0.0,36468.23822690768,0.0,1200.0,10012.662744668667,27,7527.7116469178745
2025-06-29,0.7,0.0,80812.80537726874,0.0,1200.0,10268.670784919705,37,7426.050407475793
2025-06-30,0.7,0.0,81374.46838315079,0.0,1200.0,10211.724977200423,33,7156.404430874742
2025-07-01,0.7,0.0,81689.74002553422,0.0,1200.0,10152.80985597416,36,5198.411843364916
2025-07-02,0.7,0.0,80056.66742540327,0.0,1200.0,10123.568584381406,46,5239.774573235513
2025-07-03,0.7,0.0,79164.68271801175,0.0,1200.0,9960.358654585922,46,5355.094824922944
2025-07-04,0.7,0.0,39280.129381478764,0.0,1200.0,9362.994226879038,40,5495.8152611174
2025-07-05,0.7,0.0,41092.36793649259,0.0,1200.0,9044.704455283383,35,5806.798504583353
2025-07-06,0.7,0.0,81871.21950660317,0.0,1200.0,9362.910243386244,36,5970.62380047192
2025-07-07,0.7,0.0,82686.63712048282,0.0,1200.0,9239.671431455057,33,6088.318750811345
2025-07-08,0.7,0.0,87306.14622190202,0.0,1200.0,9625.663128227965,30,7234.817037633175
2025-07-09,0.7,0.0,86410.44165417916,0.0,1200.0,9630.182620561842,31,7428.041395927712
2025-07-10,0.7,0.0,87057.58508988432,0.0,1200.0,9636.282850737905,30,7325.152877869229
2025-07-11,0.7,0.0,46786.485405984815,0.0,1200.0,9644.718896353683,28,7458.295957986528
2025-07-12,0.7,0.0,47275.671977226324,0.0,1200.0,9656.303919202295,28,7307.096269474247
2025-07-13,0.7,0.0,87953.70811166179,0.0,1200.0,9835.267045790551,30,7311.098020940059
2025-07-14,0.7,0.0,86463.96051382757,0.0,1200.0,9915.068917277036,29,7241.428940779007
2025-07-15,0.7,0.0,90598.19592509554,0.0,1200.0,9972.872738092492,30,8479.788054458115
2025-07-16,0.7,0.0,90062.87054451162,0.0,1200.0,9915.392918973163,30,8367.676442728743
2025-07-17,0.7,0.0,89770.88038327415,0.0,1200.0,9886.002382506242,32,8083.9305000209415
2025-07-18,0.7,0.0,48678.71917395147,0.0,1200.0,9824.202422360755,32,8248.369370499542
2025-07-19,0.7,0.0,48329.53826073074,0.0,1200.0,9846.514141447471,33,7692.541471582069
2025-07-20,0.7,0.0,87900.35850109266,0.0,1200.0,9840.929847463223,40,7739.63264604828
2025-07-21,0.7,0.0,87615.57466695528,0.0,1200.0,9959.243448665966,37,7543.184398017106
2025-07-22,0.7,0.0,90299.57065429755,0.0,1200.0,9988.36865586742,33,7806.2568091183475
2025-07-23,0.7,0.0,89882.2903824489,0.0,1200.0,10041.337436573287,32,7576.232101144596
2025-07-24,0.7,0.0,89828.7931605922,0.0,1200.0,9991.009719650876,34,8115.091584705693
2025-07-25,0.7,0.0,46918.02199064914,0.0,1200.0,9790.591315750256,28,7780.321348223046
2025-07-26,0.7,0.0,46713.88025155189,0.0,1200.0,9735.782761489943,31,7519.494839205042
2025-07-27,0.7,0.0,87126.9596986105,0.0,1200.0,9971.352936350579,28,7485.322524788753
2025-07-28,0.7,0.0,87515.76796332424,0.0,1200.0,10047.00525667468,28,7179.376394051431
2025-07-29,0.7,0.0,89979.59451313267,0.0,1200.0,10168.260880777054,29,7269.1029598848945
2025-07-30,0.7,0.0,90102.05231694649,0.0,1200.0,10146.265830968297,33,7470.765865699289
2025-07-31,0.7,0.0,89533.60905877277,0.0,1200.0,10089.896342570408,32,7231.707102241607
2025-08-01,0.7,0.0,45625.52229108341,0.0,1200.0,10074.840088154875,26,7303.470225175022
2025-08-02,0.7,0.0,45413.270640449875,0.0,1200.0,10099.940513378953,25,7323.824152554982
2025-08-03,0.7,0.0,85781.18845032426,0.0,1200.0,10219.37522668747,33,6598.113683793858
2025-08-04,0.7,0.0,83815.00149152975,0.0,1200.0,10262.438665129665,32,7106.511439863401
2025-08-05,0.7,0.0,81602.2567068919,0.0,1200.0,10244.501306987771,30,6869.0581754170735
2025-08-06,0.7,0.0,80129.74856669,0.0,1200.0,10261.591951799213,35,6458.158770869497
2025-08-07,0.7,0.0,78662.8590313496,0.0,1200.0,10248.556955677845,39,6820.14265180127
2025-08-08,0.7,0.0,42350.74342923599,0.0,1200.0,10117.25094689568,26,7170.065882151842
2025-08-09,0.7,0.0,42258.81084960333,0.0,1200.0,10156.482385964055,27,6994.931527509176
2025-08-10,0.7,0.0,75161.93856825358,0.0,1200.0,10207.679798348165,42,6745.405419119748
2025-08-11,0.7,0.0,75907.72008704598,0.0,1200.0,10246.604502664362,41,6625.792752833988
2025-08-12,0.7,0.0,74221.17223208459,0.0,1200.0,10221.27617488523,32,6396.921472036817
2025-08-13,0.7,0.0,75139.01377494652,0.0,1200.0,10213.571128055759,35,6782.5808412077395
2025-08-14,0.7,0.0,74363.55309359718,0.0,1200.0,10202.636308571899,33,6406.622150927085
2025-08-15,0.7,0.0,41547.16540801516,0.0,1200.0,10148.507680301396,24,6743.403004911956
2025-08-16,0.7,0.0,41627.83388144492,0.0,1200.0,10119.040630050455,23,6745.639446992515
2025-08-17,0.7,0.0,75265.13309022877,0.0,1200.0,10183.395712455733,36,6696.256706754
2025-08-18,0.7,0.0,75278.79802503629,0.0,1200.0,10175.113872281296,37,6719.534874529543
2025-08-19,0.7,0.0,75308.0163695322,0.0,1200.0,10173.766258055448,37,6611.21443212335
2025-08-20,0.7,0.0,75294.2049576724,0.0,1200.0,10153.581565250177,36,6291.535731314867
2025-08-21,0.7,0.0,76705.1674983607,0.0,1200.0,10202.9013177595,25,6615.667915322759
2025-08-22,0.7,0.0,41982.29141533379,0.0,1200.0,10091.212897120993,21,6203.4804669718915
2025-08-23,0.7,0.0,42219.5871056671,0.0,1200.0,10123.536845956294,22,6735.235214185444
2025-08-24,0.7,0.0,78870.42188048144,0.0,1200.0,10221.481265091272,31,6849.629030403583
2025-08-25,0.7,0.0,79067.04975837294,0.0,1200.0,10195.95923047405,30,6505.444306712588
2025-08-26,0.7,0.0,80031.6036314835,0.0,1200.0,10240.724239204626,30,7025.340024170589
2025-08-27,0.7,0.0,79871.11419151696,0.0,1200.0,10171.658391167111,28,6679.77181365403
2025-08-28,0.7,0.0,79015.82993436466,0.0,1200.0,10158.594529212634,27,6795.511280872357
2025-08-29,0.7,0.0,43221.70544113136,0.0,1200.0,10143.217699917574,25,6938.566465877784
2025-08-30,0.7,0.0,43132.99345415374,0.0,1200.0,10165.17040526477,23,6635.84883183021
2025-08-31,0.7,0.0,80360.80352968295,0.0,1200.0,10185.8593616002,29,6952.456363958072
2025-09-01,0.7,0.0,80778.72890296252,0.0,1200.0,10180.701656370918,29,9956.70391328465
2025-09-02,0.7,0.0,79592.97366687292,0.0,1200.0,10246.86513974374,31,9760.552099033168
2025-09-03,0.7,0.0,79350.31365183773,0.0,1200.0,10263.701305522263,31,9463.36171007645
2025-09-04,0.7,0.0,78648.6838737285,0.0,1200.0,10217.93011124113,31,9595.300753825672
2025-09-05,0.7,0.0,42231.793615325325,0.0,1200.0,10005.209153320531,25,9976.859812909706
2025-09-06,0.7,0.0,41953.1993118634,0.0,1200.0,9913.638354656308,24,10117.71673922844
2025-09-07,0.7,0.0,75716.15592284623,0.0,1200.0,9842.654563471153,36,9404.695865982105
2025-09-08,0.7,0.0,70442.93922460565,0.0,1200.0,9525.060161859845,37,8070.442471232326
2025-09-09,0.7,0.0,70538.63499059551,0.0,1200.0,9114.725881895265,43,8020.910738711634
2025-09-10,0.7,0.0,69921.19569878932,0.0,1200.0,9104.545802327792,45,7830.513761685741
2025-09-11,0.7,0.0,70245.38759591574,0.0,1200.0,9231.597457099619,42,7803.670100475353
2025-09-12,0.7,0.0,35159.607750391035,0.0,1200.0,8847.077573859679,37,7612.213227734989
2025-09-13,0.7,0.0,34282.21831801741,0.0,1200.0,9396.921030326932,38,6896.892944030128
2025-09-14,0.7,0.0,66620.47519495487,0.0,1200.0,9896.494235842436,34,6104.666571707322
2025-09-15,0.7,0.0,63969.52297128062,0.0,1200.0,9969.536119848683,30,5717.550416881314
2025-09-16,0.7,0.0,63901.66044096393,0.0,1200.0,9943.35102225752,31,5559.696871665059
2025-09-17,0.7,0.0,65534.521519469876,0.0,1200.0,9838.137046098378,32,5762.40328038682
2025-09-18,0.7,0.0,66159.37835784807,0.0,1200.0,10023.876429999173,32,5949.297418455863
2025-09-19,0.7,0.0,32801.28657125843,0.0,1200.0,9853.343220826537,31,6204.105152716441
2025-09-20,0.7,0.0,33302.709757804594,0.0,1200.0,9773.998144964826,31,6429.855343329824
2025-09-21,0.7,0.0,70256.46891368183,0.0,1200.0,9951.561634434458,29,6124.697252146867
2025-09-22,0.7,0.0,67977.78155041841,0.0,1200.0,9901.258743323577,26,5734.472783614657
2025-09-23,0.7,0.0,69096.93743109402,0.0,1200.0,9926.390379479555,30,5956.3766419921485
2025-09-24,0.7,0.0,69645.29840224658,0.0,1200.0,9978.978124391546,30,6104.621415641971
2025-09-25,0.7,0.0,69401.87075712648,0.0,1200.0,10073.31755514062,34,5807.690640772689
2025-09-26,0.7,0.0,33889.7857247683,0.0,1200.0,9986.26573663362,28,6580.490034222828
2025-09-27,0.7,0.0,34141.480398624815,0.0,1200.0,9979.634109884686,28,6012.857931696058
2025-09-28,0.7,0.0,71632.37975703306,0.0,1200.0,10169.943240056311,31,6415.501466053075
2025-09-29,0.7,0.0,71051.72694050381,0.0,1200.0,10177.266387722666,31,6087.999552765423
2025-09-30,0.7,0.0,71858.87417551142,0.0,1200.0,10148.83860542323,32,6082.943126102045
