date,variant,control_issue_time,last_observation_end,initial_soc_kwh,innovation_kwh,objective_yuan,lower_bound_yuan,recovery_error,used_reference,reference_gap,removed_simultaneous_kwh,seconds
2025-06-29,C1,2025-06-29T11:00,2025-06-29T11:00,2550.0,-123.89561053951755,1569.7612694154013,1569.7612694153993,2.0463630789890885e-12,0,0.00019190218495168665,0.0,0.00723320001270622
2025-06-29,C1,2025-06-29T12:00,2025-06-29T12:00,7050.0,141.9305280132185,1459.9714250483764,1459.9714250349323,1.3444150681607425e-08,0,0.4417017451035008,-6.602704161196016e-08,0.0073994999984279275
2025-06-29,C1,2025-06-29T13:00,2025-06-29T13:00,10790.097395849047,143.85569924446287,1350.4199517676766,1350.4199517345498,3.312675289635081e-08,0,56.46956910213294,-1.2978921404283028e-07,0.006855600018752739
2025-06-29,C1,2025-06-29T14:00,2025-06-29T14:00,10379.146543867448,-87.8218809755449,813.860368343562,813.8603682650006,7.856135653128149e-08,0,37.05660928031784,0.0,0.006217999994987622
2025-06-29,C1,2025-06-29T15:00,2025-06-29T15:00,9514.50025887753,24.668906649908166,690.7486220799409,690.7486220775315,2.4093651518342085e-09,0,0.010505270689577628,-7.090016475154293e-09,0.005421700014267117
2025-06-29,C1,2025-06-29T16:00,2025-06-29T16:00,10800.0,-10.969199595945838,570.2448532648738,570.2448532041141,6.075970304664224e-08,1,6.075970304664224e-08,0.0,0.005040499992901459
2025-06-29,C1,2025-06-29T17:00,2025-06-29T17:00,10800.0,-41.40992006198462,468.1743497630372,468.1743497630371,5.684341886080802e-14,0,0.051530385256853606,0.0,0.004289900010917336
2025-06-29,C1,2025-06-29T18:00,2025-06-29T18:00,10799.824186957238,-54.1867296079505,392.4524535001836,392.4524535001834,1.7053025658242404e-13,1,1.7053025658242404e-13,0.0,0.0035402999783400446
2025-06-29,C1,2025-06-29T19:00,2025-06-29T19:00,9874.074074074075,-2.823350687590164,329.78355575783775,329.7835557578377,5.684341886080802e-14,1,5.684341886080802e-14,0.0,0.0031350000062957406
2025-06-29,C1,2025-06-29T20:00,2025-06-29T20:00,4318.518518518519,-14.43568820145515,187.76190775926656,187.76190775926656,0.0,0,2.7014740795174816,0.0,0.0029657999984920025
2025-06-29,C1,2025-06-29T21:00,2025-06-29T21:00,1200.0000000000005,-9.742832609553943,113.16920673365159,113.16920673365158,1.4210854715202004e-14,0,0.7540148298246123,0.0,0.0025015999854076654
2025-06-29,C1,2025-06-29T22:00,2025-06-29T22:00,1950.0,19.953908784990517,78.06022062510048,78.06022062510047,1.4210854715202004e-14,0,1.1630353031862057,0.0,0.00207280000904575
