date,variant,control_issue_time,last_observation_end,initial_soc_kwh,innovation_kwh,objective_yuan,lower_bound_yuan,recovery_error,used_reference,reference_gap,removed_simultaneous_kwh,seconds
2025-04-25,C0,2025-04-25T02:00,2025-04-25T02:00,6000.000000000002,-14.65117764555481,494.0206478619143,494.0206478619142,1.1368683772161603e-13,1,1.1368683772161603e-13,0.0,0.011837300000479445
2025-04-25,C0,2025-04-25T03:00,2025-04-25T03:00,6000.000000000002,-5.022348570300608,466.6007308339974,466.6007308339973,5.684341886080802e-14,1,5.684341886080802e-14,0.0,0.011380899988580495
2025-04-25,C0,2025-04-25T04:00,2025-04-25T04:00,6000.000000000002,-43.55455539262692,444.1616806106956,444.1616806106955,1.1368683772161603e-13,1,1.1368683772161603e-13,0.0,0.01022609998472035
2025-04-25,C0,2025-04-25T05:00,2025-04-25T05:00,4137.231133468898,9.013484434042084,435.2870581759973,435.28705817599695,3.410605131648481e-13,1,3.410605131648481e-13,0.0,0.009752100013429299
2025-04-25,C0,2025-04-25T06:00,2025-04-25T06:00,2766.396905528505,-21.99207938208849,416.58334786291095,416.5833478629108,1.7053025658242404e-13,1,1.7053025658242404e-13,0.0,0.009619099990231916
2025-04-25,C0,2025-04-25T07:00,2025-04-25T07:00,1369.6108251931644,-30.088424336177553,392.96389081780944,392.96389081780904,3.979039320256561e-13,1,3.979039320256561e-13,0.0,0.008586699987063184
2025-04-25,C0,2025-04-25T08:00,2025-04-25T08:00,1199.9999999999998,26.74280942074796,388.56380472001814,388.5638047200182,5.684341886080802e-14,1,-5.684341886080802e-14,0.0,0.008113699994282797
2025-04-25,C0,2025-04-25T09:00,2025-04-25T09:00,1199.9999999999998,5.592516206146854,388.56380472001814,388.5638047200182,5.684341886080802e-14,1,-5.684341886080802e-14,0.0,0.008494599984260276
2025-04-25,C0,2025-04-25T10:00,2025-04-25T10:00,1199.9999999999998,-34.18337500268558,388.56380472001814,388.5638047200182,5.684341886080802e-14,1,-5.684341886080802e-14,0.0,0.01115639999625273
2025-04-25,C0,2025-04-25T11:00,2025-04-25T11:00,1199.9999999999998,10.632642040037695,388.56380472001814,388.5638047200182,5.684341886080802e-14,1,-5.684341886080802e-14,0.0,0.007961399998748675
2025-04-25,C0,2025-04-25T12:00,2025-04-25T12:00,1199.9999999999998,-57.51246322522286,388.56380472001814,388.5638047200182,5.684341886080802e-14,1,-5.684341886080802e-14,0.0,0.0077883999911136925
2025-04-25,C0,2025-04-25T13:00,2025-04-25T13:00,3374.4137818504328,119.22827965414388,388.5638047200187,388.5638047200183,3.979039320256561e-13,1,3.979039320256561e-13,0.0,0.006869000004371628
2025-04-25,C0,2025-04-25T14:00,2025-04-25T14:00,6935.07327248125,-5.893387673861525,388.5638047200183,388.5638047200183,0.0,1,0.0,0.0,0.0068134999892208725
