date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v2b_total_cost_yuan,savings_vs_v2b_yuan
2025-03-13,1,73720.42494971643,1788.6280449789492,75509.05299469538,44857.9493932532,7188.2616247007845,52046.21101795398,22561.292170877412,18232.969739462187,3635.1125466134818,45,1,949.4741400077978,25,1749.1711843154633,5953.692312279425,6000.0,52843.534614193064,797.3235962390827
2025-03-14,1,31864.833822374185,198.68614428293984,32063.519966657124,16578.24036374175,822.0239789416011,17400.26434268335,16033.175877005582,12993.145221714458,12994.06332803267,16,1,4.54517764343268,2,1191.80794241559,6000.0,5993.0302651778475,17608.291515154855,208.02717247150576
2025-03-15,1,31521.983470451945,676.9923608321371,32198.975831284082,16474.782888871938,2325.0848695567756,18799.867758428714,16022.596276448721,12976.329863164561,8228.584267999924,37,1,179.5209776473003,8,677.0949594676698,5993.0302651778475,5995.222621576631,18692.584774076116,-107.28298435259785
2025-03-16,1,73315.15723364976,724.6246073489173,74039.78184099868,44462.913732851375,2842.1370225477563,47305.05075539913,22399.172142068863,18140.337517433578,6429.900283030054,33,1,320.5104668483507,13,2755.592677892596,5995.222621576631,5998.546974512418,47741.147505319226,436.0967499200997
2025-03-17,1,72791.7808039537,212.79439699747775,73004.57520095118,44072.23411129029,819.9342272801116,44892.1683385704,22020.231067386856,17835.079441644528,10961.292141875525,14,1,64.38036308902713,5,4467.78265784576,5998.546974512418,6000.0,44831.95476477479,-60.21357379561232
2025-03-18,1,70226.31425253257,973.6915085565579,71200.00576108912,42262.63677446655,4688.335013019821,46950.97178748636,21744.17049775022,17660.7838918826,5990.660788554843,35,1,45.3676900119608,3,1159.324903604761,6000.0,5946.660234772309,47953.02885620922,1002.0570687228537
2025-03-19,1,70227.49464823755,569.8861509691151,70797.38079920667,42301.9326398458,2859.998512787532,45161.93115263333,21866.878134782688,17666.744890330156,7131.777104754132,21,1,45.18768251185543,5,1203.690942232603,5946.660234772309,5997.134011265448,45677.24807417138,515.3169215380476
2025-03-20,1,69885.79111179117,623.0179919900346,70508.80910378121,42210.97675705566,2454.13144264849,44665.10819970415,21957.43546145763,17782.943333919575,4125.355159576489,37,1,331.0188275651129,18,1182.5113559206836,5997.134011265448,6000.0,44753.326657382466,88.21845767831837
2025-03-21,1,30852.32182934973,382.59657395228226,31234.918403302014,15929.915975667343,1299.7161728516442,17229.632148518987,16045.263949908038,13005.020451588232,16161.210388315541,29,1,121.1328480997264,9,990.0847659223581,6000.0,5990.714830930308,17141.057475996724,-88.57467252226343
2025-03-22,1,31024.31749295866,378.5211091057955,31402.838602064458,16082.590640686465,1238.8267595086545,17321.417400195118,16078.276543042655,13018.189676342714,12461.552002031181,22,1,241.51253718375486,12,1047.449898924614,5990.714830930308,5996.508523732345,17385.321593042834,63.90419284771633
