date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,load_mae_kw,pv_mae_kw,net_mae_kw,load_bias_kw,pv_bias_kw,net_bias_kw,v1_total_cost_yuan,v1_emergency_cost_yuan,savings_vs_v1_yuan
2025-03-07,1,33374.952897731026,699.1881947944286,34074.14109252545,17056.567226767016,2680.4432195317377,19737.01044629875,17299.863661918982,14012.889566154383,9864.88146342752,38,1,425.4812975579497,16,1521.704358469159,6000.000000000005,6000.0,210.86752513461187,106.39351408730158,290.4179207325603,-167.51505402218478,62.91327698412697,-230.42833100631177,19737.01044629875,2680.4432195317377,0.0
2025-03-08,1,32579.64412563401,295.6986367548365,32875.34276238885,16752.179549079272,1008.5082091774215,17760.687758256692,16722.036100990732,13544.849241802493,10635.01638653394,25,1,49.02842499670987,2,922.8410394713588,6000.0,6000.0,121.6325116462692,176.0038541666667,286.5176189279291,-85.8740297539149,176.00203611111115,-261.876065865026,17760.687758256692,1008.5082091774215,0.0
2025-03-09,1,74633.14842154729,353.3336749713318,74986.48209651862,45490.318063515806,1623.80722547983,47114.12528899563,23336.694968858686,18902.722924775535,7218.985002435465,24,1,52.163812245032204,3,2388.297551114806,6000.0,6000.000000000004,141.78957225731452,193.12837996031746,315.5132782252832,-93.10815114433892,192.9606541666667,-286.0688053110056,47114.12528899563,1623.80722547983,0.0
2025-03-10,1,73151.4822941495,2318.174672152352,75469.65696630185,44481.267959925644,7011.998788623609,51493.26674854926,23112.65485983953,18721.25043647002,3036.181092932338,56,1,1817.8614991248853,26,1430.8853872314007,6000.000000000004,6000.000000000002,140.8798166055292,137.00078849206346,223.09815687852875,-75.44813221503908,-45.531198015873,-29.916934199166082,51493.26674854926,7011.998788623609,0.0
2025-03-11,1,72791.06365607493,852.5802870960479,73643.64394317097,44134.66541670323,3411.4542052256043,47546.11962192884,22790.962183829528,18460.679368901918,5374.442328243375,41,1,245.87851929859255,12,2754.297423265278,6000.000000000002,6000.000000000004,149.55170383603092,133.16062668650798,259.4592756391426,-105.02488613907516,83.38603224206346,-188.41091838113866,47546.11962192884,3411.4542052256043,0.0
2025-03-12,1,72117.92933476594,704.3506542176619,72822.2799889836,43737.33925184271,2484.691700275323,46222.03095211803,22416.264054397292,18157.173884061813,6127.6551353147925,43,1,197.36537433214949,9,2570.118302646964,6000.000000000004,6000.000000000001,138.2162126203557,150.91760545634918,284.66690789718564,-81.92183958936458,144.0491804563492,-225.9710200457138,46222.03095211803,2484.691700275323,0.0
2025-03-13,1,71103.97796297568,3882.023702114003,74986.00166508969,43100.00636408852,14336.789132741565,57436.795496830084,22202.21055540702,17983.790549879683,3221.9636428956796,64,1,2903.3971797407567,31,1366.6154284858899,6000.000000000001,6000.000000000002,132.54164194740522,210.92778511904766,295.9994727087367,-58.38303225479209,-85.8855347222222,27.502502467430116,57436.795496830084,14336.789132741565,0.0
2025-03-14,1,31330.144460473584,828.7632226890757,32158.90768316266,16005.752246883565,3567.9107553796684,19573.663002263234,16182.554856715562,13107.869433939608,13054.796277053372,38,1,402.8685228366512,11,840.5682119931182,6000.000000000002,5999.999999999998,146.24131723198218,166.83241597222218,295.57737720858466,-81.67962524400123,144.80358978174598,-226.48321502574726,19573.663002263234,3567.9107553796684,0.0
2025-03-15,1,30977.301690968736,1650.847395297312,32628.149086266047,15877.751392658325,5397.1036757216925,21274.855068380017,16000.000000000004,12959.999999999998,8664.023936266043,55,1,926.0602888237154,16,370.67542428515003,5999.999999999998,6000.000000000003,120.61684577795319,165.70442242063487,209.66834994877138,-30.83061856110443,-65.1456446428571,34.31502608175268,21274.855068380017,5397.1036757216925,0.0
2025-03-16,1,69917.68969567532,1245.1829274641416,71162.87262313945,42195.066242640416,4581.566052711637,46776.63229535205,21993.213166345333,17814.50266473972,3633.11518820051,59,1,692.5484285347696,19,1520.2197988269118,6000.000000000003,6000.000000000002,100.86259312738518,141.13674672619047,203.2624214860272,-37.85768913782491,61.639488392857146,-99.49717753068207,46776.63229535205,4581.566052711637,0.0
2025-03-17,1,69853.88549121164,303.8647683708397,70157.75025958248,42071.168628116044,1504.3973095588788,43575.56593767492,21947.910767757432,17777.807721883517,8129.51578037523,24,1,32.20387837873386,3,3471.5035342601436,6000.000000000002,6000.000000000003,112.83936978522385,276.8264791666666,351.39085619775295,-49.24750843669093,276.8212837301587,-326.0687921668496,43575.56593767492,1504.3973095588788,0.0
2025-03-18,1,68421.35092323837,1080.736691890851,69502.08761512922,41094.297402253535,4934.172670486961,46028.47007274049,21800.026566343666,17658.02151873837,4234.124200857253,38,1,128.19531690917938,7,726.9058590566416,6000.000000000003,6000.0,120.1181463435429,147.194766468254,221.45253719783764,-68.2048237862985,63.18632242063489,-131.3911462069334,46028.47007274049,4934.172670486961,0.0
2025-03-19,1,68331.47984314944,578.2540778015904,68909.73392095104,41088.88178879071,2689.2803077702433,43778.162096560955,21730.82357938353,17601.96709930066,5315.406990868154,28,1,42.412934517699796,4,905.9265716156249,6000.0,5999.999999999998,124.2456907161577,174.7823196428571,245.56921119457263,-79.11454141745607,118.26682996031744,-197.3813713777735,43778.162096560955,2689.2803077702433,0.0
2025-03-20,1,67785.78696008767,1272.7589361306973,69058.54589621838,40840.83282282499,4805.2533770244945,45646.08619984949,21801.429801674916,17659.15813935668,2707.312417233468,54,1,397.90938057733297,11,801.8387692703918,5999.999999999998,6000.000000000002,120.24252755735395,82.01601547619046,165.83630639017358,-53.26848671261546,6.504575000000006,-59.77306171261547,45646.08619984949,4805.2533770244945,0.0
2025-03-21,1,30056.61526147801,670.120785045026,30726.736046523038,15292.295728604424,2658.5313519799015,17950.827080584324,16000.0,12960.000000000002,15653.27152985637,40,1,116.94399682853066,6,530.8740623343288,6000.000000000002,6000.0,104.86779307008591,201.68897519841275,273.94082916106595,-22.116305650688552,191.60441785714286,-213.7207235078314,17950.827080584324,2658.5313519799015,0.0
2025-03-22,1,30125.16255591619,1185.8893273015267,31311.05188321772,15374.747239654123,4443.657140357568,19818.404380011692,16000.0,12960.0,12389.852149884384,45,1,892.943188369712,20,586.8089486248185,6000.0,6000.0,92.8488525672237,106.26275833333335,163.219643720665,-41.26669553066176,-22.7467132936508,-18.519982237010964,19818.404380011692,4443.657140357568,0.0
2025-03-23,1,65206.81709123802,1554.864660200595,66761.68175143862,39181.94982866154,5840.851908265172,45022.80173692672,21627.8606043657,17518.567089536216,3882.6681199424706,57,1,812.0738288045447,19,1295.5078049950168,6000.0,6000.000000000002,96.93995107634774,174.83330466269848,226.5638658392944,-23.626510524959212,73.36530029761897,-96.99181082257819,45022.80173692672,5840.851908265172,0.0
2025-03-24,1,64468.5153526615,1058.6808032513688,65527.19615591287,38731.13434559027,3782.226337790395,42513.36068338066,21507.38734091184,17420.983746138587,3442.2954778062854,42,1,376.0186776211159,14,699.2311143533908,6000.000000000002,6000.000000000002,99.90607149789435,120.80705595238094,187.5406783774022,-32.756581479470775,66.56069662698411,-99.31727810645488,42513.36068338066,3782.226337790395,0.0
2025-03-25,1,64336.57477359017,2627.2168083291085,66963.79158191927,38594.51768655699,9797.94985612156,48392.46754267855,21550.835771350216,17456.176974793678,1919.0080686960666,79,1,1638.334006610833,26,511.8284011815457,6000.000000000002,6000.0,104.13560766493406,124.09939702380959,189.42603654271568,1.6848929212179986,-27.82380456349209,29.508697484710083,48392.46754267855,9797.94985612156,0.0
2025-03-26,1,64362.14729070481,615.4014986041411,64977.54878930895,38590.380420051784,2186.676236180057,40777.05665623184,21559.350777096817,17463.074129448425,5288.717274993891,39,1,279.7806980420361,11,1547.3989137978688,6000.0,6000.000000000001,91.41584450613031,190.7243241071429,246.00494889991796,-19.6427300678268,175.07876061507943,-194.72149068290622,40777.05665623184,2186.676236180057,0.0
2025-03-27,1,63784.027989427836,1723.4656938619778,65507.49368328982,38331.077765144815,6619.881216143736,44950.95898128855,21538.439870851147,17446.13629538943,2698.2007078280935,60,1,866.7110227877747,21,884.9385720094734,6000.000000000001,6000.0,105.62055457900152,107.97427559523814,184.23610007041964,-10.959205145413598,29.654753769841236,-40.613958915254834,44950.95898128855,6619.881216143736,0.0
2025-03-28,1,29030.644167369766,685.0317735604316,29715.6759409302,14631.857138086118,2417.223648864114,17049.08078695023,15999.999999999998,12959.999999999998,15853.795174263534,37,1,31.998276253454378,2,462.89573612787336,6000.0,6000.000000000004,110.00069820727504,111.5524262896825,198.38845618674762,-32.04966332000911,83.48662093253964,-115.53628425254877,17049.08078695023,2417.223648864114,0.0
2025-03-29,1,29031.571578464267,583.0433054800446,29614.614883944312,14632.613848556695,2326.3024762992272,16958.916324855923,16000.000000000002,12960.000000000002,18867.40570061098,43,1,47.92766597578611,5,541.1839063269603,6000.000000000004,6000.0,79.79761745871168,234.1272896825396,274.7931223518993,-6.538287371419405,219.66789285714282,-226.2061802285622,16958.916324855923,2326.3024762992272,0.0
2025-03-30,1,61545.45580008469,1318.5840126200828,62864.039812704774,36916.04777270957,5166.000183273806,42082.04795598338,21387.88823805021,17324.18947282067,3454.721347475228,49,1,691.4522196727015,17,812.3894220724527,6000.0,6000.000000000005,106.39438402531037,139.88309097222222,198.8877233373046,7.512090710400642,96.51781299603171,-89.00572228563107,42082.04795598338,5166.000183273806,0.0
2025-03-31,1,60880.44911068498,3074.169336366629,63954.61844705161,36488.89163791554,11934.89981920851,48423.79145712405,21404.52411645642,17337.664534329706,2936.3693815915626,61,1,2316.2860549621205,33,1897.3873079700334,6000.000000000005,6000.000000000002,99.12978994083652,185.1163142857143,250.43911324825797,-24.838731249451566,-30.580396031745977,5.741664782294404,48423.79145712405,11934.89981920851,0.0
2025-04-01,1,60846.9601525647,5353.49329204689,66200.45344461159,36386.52271376501,17005.168106755387,53391.690820520394,21411.23816494698,17343.102913607057,1923.4666766050018,85,1,4257.0810334226335,36,1289.4108112843783,6000.000000000002,5999.999999999998,111.04058661803086,229.4692973214286,303.2066653604955,9.602426933094536,-133.31534871031752,142.91777564341206,53391.690820520394,17005.168106755387,0.0
2025-04-02,1,60721.25247273766,5615.413699152147,66336.66617188981,36248.991957710765,21807.46807378783,58056.460031498595,21348.518912963817,17292.300319500686,1845.112178426672,87,1,3772.6394751659063,35,258.020609943038,5999.999999999998,6000.000000000005,95.77794764853937,274.2682313492064,310.85524489911745,11.255209792132902,-145.84068690476192,157.0958966968948,58056.460031498595,21807.46807378783,0.0
2025-04-03,1,61558.969513497286,1459.8883171939942,63018.85783069128,36701.564697858405,6079.063726816101,42780.628424674505,21437.277602129256,17364.194857724702,3082.2448196200594,66,1,416.16850752448715,15,242.02786233338918,6000.000000000005,6000.000000000002,96.92761826528701,139.81310753968253,189.25554736725223,-0.05672351378449273,67.54146408730156,-67.59818760108607,42780.628424674505,6079.063726816101,0.0
2025-04-04,1,28177.952612747915,611.1210296805979,28789.073642428513,14122.634295850243,2080.7809512006497,16203.415247050893,16000.000000000002,12960.000000000002,19318.271392428513,37,1,43.953862685879585,3,465.26839961179087,6000.000000000002,6000.0,96.39828677073743,193.8963482142857,257.68595442531597,-15.138344347392085,187.79651924603175,-202.9348635934238,16203.415247050893,2080.7809512006497,0.0
2025-04-05,1,28352.01115804899,2085.883223110185,30437.894381159174,14191.836914605266,8169.810963058937,22361.647877664203,16000.000000000002,12959.999999999998,15353.77939782584,59,1,1451.031973416616,19,557.0409954580479,6000.0,6000.000000000002,107.96548042916834,134.14323263888886,191.61540466148426,16.106422464304686,-35.17560545634923,51.28202792065391,22361.647877664203,8169.810963058937,0.0
2025-04-06,1,61089.37763520181,810.5049485853423,61899.882583787155,36263.3530347454,3203.474898559497,39466.8279333049,21371.78569768184,17311.14641512229,3429.1670345609355,53,1,62.22147330381836,5,591.8851278438876,6000.000000000002,6000.0,95.0832744640193,105.01385188492065,176.65299929776154,-28.158383840252913,80.95253640873013,-109.11092024898305,39466.8279333049,3203.474898559497,0.0
