date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v1_total_cost_yuan,savings_vs_v1_yuan
2025-08-01,1.0,50990.14598457716,95.90242812870144,51086.04841270586,29324.93340656818,210.19739984146383,29535.130806409645,20159.9836340865,11739.586743610062,21414.29185556276,6.0,1.0,0.0,0.0,2558.633101246404,3599.9999999999977,8700.0,26660.659479502076,-2874.471326907569
2025-08-02,1.0,45983.270640449875,30.384585471772674,46013.65522592165,27199.66471122768,155.3569625292812,27355.02167375696,18999.999999999996,15389.999999999998,21476.630292588314,4.0,1.0,0.0,0.0,2271.891587832045,8700.0,8700.0,25955.564394720655,-1399.4572790363054
2025-08-03,1.0,85781.18845032426,247.58447285357153,86028.77292317784,53977.82225322536,1024.9524326723943,55002.774685897755,22250.573009665713,18022.964137829225,18961.68406800801,11.0,1.0,48.30475310849195,3.0,7152.934433420752,8700.0,8700.0,52104.0702602592,-2898.704425638556
2025-08-04,1.0,83815.00149152974,93.87211789521189,83908.87360942495,52562.37812097636,268.5361798366532,52830.91430081301,21865.75468647352,17711.26129604355,14338.725135661649,8.0,1.0,5.899858112909669,1.0,5314.303536125056,8700.0,8700.0,49840.08757058632,-2990.8267302266904
2025-08-05,1.0,81602.2567068919,102.92524609911145,81705.18195299101,51105.100919872864,318.6333483490261,51423.73426822189,21916.830666159105,17752.632839588874,12388.67439308745,7.0,1.0,19.419238682721698,2.0,4092.4656891094874,8700.0,8700.0,49885.30118234273,-1538.4330858791582
2025-08-06,1.0,73129.74856669,1357.945805991388,74487.69437268139,47241.811336798295,5411.227508182324,52653.03884498062,14773.256444445537,17636.337720000884,9236.376381570075,29.0,1.0,413.8735568712025,8.0,3764.300741849622,8700.0,2400.0000000000023,57908.76128633767,5255.722441357051
2025-08-07,1.0,78662.8590313496,325.8340722360093,78988.69310358561,49513.96015264868,1139.6555737826159,50653.61572643129,20979.2264636452,16993.17343555261,11614.65482549302,16.0,1.0,73.24603303066237,4.0,2770.1837464252826,2400.0000000000023,2400.0000000000005,49126.74515595281,-1526.8705704784807
2025-08-08,1.0,48863.06310956098,195.65268733949924,49058.71579690048,27504.18379777125,789.7297553055495,28293.9135530768,20541.720623744237,10968.79370523283,23710.617628389075,13.0,1.0,23.851348861692486,1.0,679.6130341426506,2400.0000000000005,8700.000000000002,26001.970969843023,-2291.9425832337765
2025-08-09,1.0,42828.81084960333,331.8369842225477,43160.64783382588,24940.2947575278,1311.3905255878703,26251.685283115672,19000.000000000004,15390.0,20628.71883382588,21.0,1.0,52.564773959918966,4.0,1582.011656044029,8700.000000000002,8700.0,28847.307040691052,2595.62175757538
2025-08-10,1.0,75161.93856825358,1303.2128649107954,76465.15143316437,47572.324909182265,4282.0028263192335,51854.3277355015,20682.65123433465,16752.947499811067,7230.828648640798,24.0,1.0,1130.2275560543676,15.0,2658.9717043060177,8700.0,8700.0,54753.686518772796,2899.3587832712947
2025-08-11,1.0,75907.72008704598,852.145090193259,76759.86517723923,47853.30868960251,3619.264425336119,51472.573114938634,20201.108906943336,16362.898214624105,8360.401151586677,29.0,1.0,226.30914409038792,6.0,1285.036900847856,8700.0,8700.0,53800.07929619844,2327.506181259807
2025-08-12,1.0,74221.17223208459,2318.572554263717,76539.74478634831,46844.41458583158,9322.688478506278,56167.103064337854,20129.961814729864,16305.269069931195,4954.508391549641,48.0,1.0,1152.3579540146243,18.0,1957.1250909950566,8700.0,8700.0,60481.97885718541,4314.875792847553
2025-08-13,1.0,68139.01377494652,1626.6018511185669,69765.61562606509,44554.2357620983,5876.262524753056,50430.49828685136,13226.7327644348,16383.653539192188,6801.556950822478,34.0,1.0,1241.526669298591,14.0,1994.2340354886926,8700.0,2399.9999999999986,56406.66947573711,5976.171188885746
2025-08-14,1.0,74363.55309359718,1358.375916904479,75721.92901050166,46971.75521442025,6101.217589909776,53072.97280433002,19765.615618894673,16010.148651304684,6040.171059578327,42.0,1.0,185.57574113511123,8.0,753.4501767817214,2399.9999999999986,2399.9999999999986,56266.22782779039,3193.2550234603696
2025-08-15,1.0,48113.12243106892,445.45908934164214,48558.58152041056,27082.49927612451,1599.9734797124486,28682.47275583696,20715.56327923033,11109.606256176563,21792.897614023463,22.0,1.0,85.53794289474175,4.0,687.3295592747164,2399.9999999999986,8700.000000000002,27520.168806204023,-1162.3039496329366
2025-08-16,1.0,42197.83388144492,327.0872632038048,42524.92114464873,24635.535955932584,1260.33915556085,25895.875111493435,19000.0,15390.000000000004,21985.640777982066,19.0,1.0,0.0,0.0,1013.0111450585601,8700.000000000002,8700.0,27965.060739215613,2069.1856277221777
2025-08-17,1.0,75265.13309022876,549.6218800368488,75814.75497026561,47571.61639284952,2355.816593836926,49927.43298668645,20157.782628050474,16327.803928720883,8819.382654269355,23.0,1.0,0.0,0.0,2208.083389262685,8700.0,8700.0,50119.30091052274,191.86792383628926
2025-08-18,1.0,75278.79802503629,744.1090038285114,76022.9070288648,47481.94784256335,3251.049964909076,50732.99780747243,20530.22391650321,16629.481372367605,7728.048868062527,31.0,1.0,43.6992004831463,4.0,1465.2026349040286,8700.0,8700.0,54195.367599237456,3462.369791765028
2025-08-19,1.0,75308.0163695322,865.348868097306,76173.3652376295,47580.52953974765,3243.0725298358448,50823.602069583496,20629.920390932577,16710.235516655386,7936.02031335232,32.0,1.0,281.3198400334627,7.0,2670.058225233584,8700.0,8700.0,51375.85879609707,552.2567265135731
2025-08-20,1.0,69627.53829100572,3159.075166836804,72786.61345784253,45180.84760181462,12019.115714912687,57199.963316727306,15021.744855987965,16757.61333335025,3871.790868538154,58.0,1.0,1540.2643700947503,18.0,291.83999447859674,8700.0,3599.9999999999995,71755.21357703768,14555.250260310371
2025-08-21,1.0,76705.1674983607,873.5119895080184,77578.6794878687,48424.99679515193,3193.6487186441177,51618.645513796044,21596.26642544979,17492.97580461433,7630.970383699922,28.0,1.0,437.1498172306508,12.0,3118.0049401603574,3599.9999999999995,3600.0000000000005,54836.57437258924,3217.928858793195
