date,soc_start_kwh,soc_end_kwh,emergency_kwh,emergency_cost_yuan
2025-05-25,8700.000000000002,8700.0,170.37706239260794,757.2238831747189
2025-05-26,8700.0,8700.0,2483.2189138373474,8879.462326912695
2025-05-27,8700.0,8700.000000000002,124.80552101498301,318.0766920717255
2025-05-28,8700.000000000002,1950.0,1487.8471726542982,4673.351655468545
2025-05-29,1950.0,1950.000000000002,1040.054418778785,4196.1949625766765
2025-05-30,1950.000000000002,8700.000000000002,488.4599040108663,1968.1528932534818
2025-05-31,8700.000000000002,8700.0,520.4069369635092,1811.9016914321073
2025-06-01,8700.0,8700.0,11481.318987513396,44326.551523771544
2025-06-02,8700.0,8700.0,8339.997846305585,33663.223845937384
2025-06-03,8700.0,8700.0,3985.186397537268,16421.409497760906
2025-06-04,8700.0,2400.0,3646.8772056577,13064.372542959673
2025-06-05,2400.0,2400.000000000002,2250.794959113982,8473.327570493262
2025-06-06,2400.000000000002,8700.0,2803.7519056821366,11208.332767237776
2025-06-07,8700.0,8700.0,928.5391827270499,3519.473143298642
2025-06-08,8700.0,8700.0,15.863524517323981,54.03514515207761
2025-06-09,8700.0,8700.0,262.0705397439514,662.941112197342
2025-06-10,8700.0,8700.0,84.13558700486885,225.39111483293132
2025-06-11,8700.0,5999.999999999897,518.7754602748491,2493.441440314606
2025-06-12,5999.999999999897,6000.000000001699,111.3466979499187,326.96552312106104
2025-06-13,6000.000000001699,8700.0,157.09275447427322,856.8138768791391
2025-06-14,8700.0,8700.000000000004,40.76423657154135,109.11734480499224
2025-06-15,8700.000000000004,8700.0,0.0,0.0
2025-06-16,8700.0,8700.0,96.29456597578654,284.918083160233
2025-06-17,8700.0,8700.0,432.5113406782838,1792.1300756799706
2025-06-18,8700.0,6000.000000000003,27.190809995676204,74.97769834469764
2025-06-19,6000.000000000003,4799.999999999988,167.28435865057412,660.9365810172018
2025-06-20,4799.999999999988,8700.0,17.693083010922635,38.25770640252696
2025-06-21,8700.0,8700.0,80.8365563156807,245.3772098198635
2025-06-22,8700.0,8700.0,138.46091103528624,501.1938266670724
2025-06-23,8700.0,8700.0,125.09502710506983,463.267759707439
2025-06-24,8700.0,8700.0,3744.40790079992,15176.958158334985
2025-06-25,8700.0,2400.0000000000005,1053.0653720451949,3473.193143398847
2025-06-26,2400.0000000000005,2400.000000000001,233.32666300547072,963.3910335869805
2025-06-27,2400.000000000001,8700.0,44.45611969996065,111.56413009134788
2025-06-28,8700.0,8700.0,369.27652137123306,1274.5940188349268
2025-06-29,8700.0,8700.0,1022.4410383828698,3129.2666387034424
2025-06-30,8700.0,8700.0,869.922132301244,3479.5942103369557
2025-07-01,8700.0,8700.0,5462.043325088828,18349.37754426516
2025-07-02,8700.0,2400.000000000002,5153.361415262345,17666.86289929502
2025-07-03,2400.000000000002,2399.9999999999986,6637.440419102136,24173.36810554877
2025-07-04,2399.9999999999986,8700.0,3002.3139804165967,11365.987608313688
2025-07-05,8700.0,8700.0,2165.715877513018,8755.730858292542
