date,common_initial_soc_kwh,purchase_l1_difference_kwh,charge_l1_difference_kwh,discharge_l1_difference_kwh,r1_end_soc_kwh,r2_end_soc_kwh,end_soc_difference_kwh
2025-02-26,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8549.999999999993,8549.999999999993,0.0
2025-02-27,8549.999999999998,0.0,0.0,0.0,6753.529800441576,6753.529800441576,0.0
2025-02-28,6753.529800441578,0.0,0.0,0.0,6452.8890319162765,6452.8890319162765,0.0
2025-03-01,6452.889031916275,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-03-02,8550.000000000002,4.092726157978177e-12,2.0463630789890885e-12,1.637090463191271e-12,8550.000000000004,8550.000000000004,0.0
2025-03-03,8550.000000000004,8.185452315956354e-12,4.092726157978177e-12,3.274180926382542e-12,8550.000000000002,8550.000000000002,0.0
2025-03-04,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.000000000004,8550.000000000004,0.0
2025-03-05,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-03-06,8550.000000000004,0.0,0.0,0.0,6475.85283969382,6475.85283969382,0.0
2025-03-07,6475.852839693822,0.0,0.0,0.0,5839.642855162649,5839.642855162649,0.0
2025-03-08,5839.642855162648,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-03-09,8550.000000000004,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-03-10,8550.000000000004,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-03-11,8550.000000000002,4.092726157978177e-12,2.0463630789890885e-12,1.637090463191271e-12,8550.0,8550.0,0.0
2025-03-12,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-03-13,8550.0,0.0,0.0,0.0,5182.798791091977,5182.798791091977,0.0
2025-03-14,5182.79879109198,0.0,0.0,0.0,4811.223597452257,4811.223597452257,0.0
2025-03-15,4811.223597452257,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-03-16,8550.0,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-03-17,8550.000000000002,4.320099833421409e-12,2.0463630789890885e-12,1.637090463191271e-12,8550.000000000004,8550.000000000004,0.0
2025-03-18,8550.000000000004,8.185452315956354e-12,4.092726157978177e-12,3.274180926382542e-12,8550.0,8550.0,0.0
2025-03-19,8550.0,0.0,1.1368683772161603e-13,0.0,8550.000000000002,8550.000000000002,0.0
2025-03-20,8550.000000000004,8.185452315956354e-12,4.092726157978177e-12,3.274180926382542e-12,4586.519989776228,4586.519989776228,0.0
2025-03-21,4586.519989776224,0.0,0.0,0.0,4367.393563290496,4367.393563290496,0.0
2025-03-22,4367.39356329049,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
