date,phase,horizon_hours,horizon_objective_yuan,horizon_planned_cost_yuan,first_day_planned_cost_yuan,horizon_final_soc_kwh,first_day_end_soc_kwh,seconds,objective_error
2025-02-27,evaluation,24,48226.063677417136,46882.68832857394,46882.68832857394,1199.9999999999977,1200.0000000000002,0.017134299996541813,4.3655745685100555e-11
2025-02-28,evaluation,24,18689.95604420162,18114.515432805925,18114.515432805925,1200.0000000000036,1200.0000000000066,0.015470099984668195,7.275957614183426e-12
2025-03-01,evaluation,24,18519.961405430844,17945.33983272023,17945.33983272023,1200.0000000000023,1200.0000000000014,0.016205299994908273,1.8189894035458565e-11
2025-03-02,evaluation,24,47458.21742540687,46041.06024516854,46041.06024516854,1200.000000000001,1200.0000000000027,0.01825339999049902,4.3655745685100555e-11
2025-03-03,evaluation,24,47790.10686194244,46412.3122029099,46412.3122029099,1199.9999999999995,1200.0000000000005,0.01830980001250282,3.637978807091713e-11
2025-03-04,evaluation,24,49044.17001280805,47395.39138585071,47395.39138585071,1200.0000000000005,1200.000000000001,0.017419700016034767,3.637978807091713e-11
2025-03-05,evaluation,24,50789.76537096597,48372.01606850412,48372.01606850412,1200.0000000000014,1200.0000000000045,0.01908180001191795,2.1827872842550278e-11
2025-03-06,evaluation,24,51341.20674034945,48917.42892889855,48917.42892889855,1200.0000000000005,1199.9999999999995,0.020344499993370846,3.637978807091713e-11
2025-03-07,evaluation,24,19496.514771801027,17898.984562846716,17898.984562846716,1200.0000000000005,1200.0000000000005,0.01823429999058135,7.275957614183426e-12
2025-03-08,evaluation,24,18979.623515898806,17554.02420547627,17554.02420547627,1200.0000000000045,1200.0000000000045,0.01886979999835603,0.0
2025-03-09,evaluation,24,50235.00414009982,47771.910096154636,47771.910096154636,1200.0000000000048,1200.000000000004,0.01921649998985231,1.4551915228366852e-11
2025-03-10,evaluation,24,49149.10024595442,46652.6334346263,46652.6334346263,1200.0,1200.0000000000018,0.02101060000131838,1.4551915228366852e-11
2025-03-11,evaluation,24,48688.15597230892,46114.37225387621,46114.37225387621,1200.0000000000005,1200.0000000000023,0.018224899977212772,1.4551915228366852e-11
2025-03-12,evaluation,24,48177.47813530624,45503.78672628284,45503.78672628284,1199.9999999999986,1200.0,0.016405300004407763,2.1827872842550278e-11
2025-03-13,evaluation,24,47707.094465514165,44982.81583949101,44982.81583949101,1200.0,1200.0000000000032,0.01773320001666434,1.4551915228366852e-11
2025-03-14,evaluation,24,17253.88548724657,16592.18159084997,16592.18159084997,1200.0000000000014,1200.0000000000027,0.014933400001609698,3.637978807091713e-12
2025-03-15,evaluation,24,17014.493936614694,16407.46559626922,16407.46559626922,1199.9999999999982,1200.0000000000005,0.014308099984191358,1.0913936421275139e-11
2025-03-16,evaluation,24,47082.31454496224,44466.63160521975,44466.63160521975,1200.0000000000045,1200.0000000000023,0.017239500011783093,2.9103830456733704e-11
2025-03-17,evaluation,24,46900.309816754445,44340.50993487549,44340.50993487549,1200.0000000000036,1200.000000000004,0.01813909999327734,0.0
2025-03-18,evaluation,24,45809.082517282215,43429.44187956499,43429.44187956499,1200.000000000001,1200.0000000000002,0.020705900009488687,0.0
2025-03-19,evaluation,24,45099.57527431119,43162.7544910837,43162.7544910837,1200.0000000000027,1200.0000000000043,0.020800500002224,7.275957614183426e-12
2025-03-20,evaluation,24,44136.31776022312,42084.061339701584,42084.061339701584,1200.0000000000027,1200.0,0.021402099984697998,3.637978807091713e-11
2025-03-21,evaluation,24,16480.94836527643,15861.06759370177,15861.06759370177,1200.000000000001,1199.999999999999,0.01551100000506267,1.0913936421275139e-11
2025-03-22,evaluation,24,16545.788803646155,15906.696897227223,15906.696897227223,1200.000000000005,1200.0000000000036,0.015862600004766136,1.0913936421275139e-11
2025-03-23,evaluation,24,42811.315379009495,40885.46829257356,40885.46829257356,1200.000000000004,1200.0000000000005,0.025281700014602393,2.1827872842550278e-11
