date,alpha,margin_kwh,max_margin_kwh,residual_sample_count
2025-04-24,0.8,2800.7607058043095,64.84514644251706,112
2025-04-25,0.8,2678.0807536786115,54.693072285714386,113
2025-04-26,0.8,2698.6627815833754,54.693072285714386,114
2025-04-27,0.8,2667.151595715534,49.80232228571446,115
2025-04-28,0.8,2735.3191269932076,54.693072285714386,116
2025-04-29,0.8,2949.306496190623,64.84514644251706,117
2025-04-30,0.8,2920.5922308447334,64.84514644251706,118
2025-05-01,0.8,2825.6056894746503,57.04719799999971,119
2025-05-02,0.8,2787.3978208890067,54.693072285714386,120
2025-05-03,0.8,2752.7017017031653,54.693072285714386,121
2025-05-04,0.8,2815.9061654817906,88.31243291428643,122
2025-05-05,0.8,2872.4646484975447,88.31243291428643,123
2025-05-06,0.8,3087.2789299491756,174.17838186666708,124
2025-05-07,0.8,3176.1267517808474,174.17838186666708,125
2025-05-08,0.8,3297.0383080897736,174.17838186666708,126
2025-05-09,0.8,3416.9821790058536,219.57963253333352,127
2025-05-10,0.8,3174.4551823125553,147.38240266666674,128
2025-05-11,0.8,3128.644897457446,147.38240266666674,129
2025-05-12,0.8,3199.522372344405,147.38240266666674,130
2025-05-13,0.8,3237.198526056783,147.38240266666674,131
2025-05-14,0.8,3188.17146817909,147.38240266666674,132
2025-05-15,0.8,3120.4389186552817,147.38240266666674,133
2025-05-16,0.8,3151.4075337153904,147.38240266666674,134
2025-05-17,0.8,3050.3117574209546,125.57183399999994,135
2025-05-18,0.8,3043.9293874209525,125.57183399999994,136
2025-05-19,0.8,3128.120273714286,125.57183399999994,137
2025-05-20,0.8,3141.964934190477,125.57183399999994,138
2025-05-21,0.8,3173.0973839772287,125.57183399999994,139
2025-05-22,0.8,3222.5543154057996,125.57183399999994,140
2025-05-23,0.8,3188.0373680062694,125.57183399999994,141
2025-05-24,0.8,3145.7273749296064,125.57183399999994,142
2025-05-25,0.8,3067.5786639772273,125.57183399999994,143
2025-05-26,0.8,3096.1725246438946,125.57183399999994,144
2025-05-27,0.8,3186.8255899060705,125.57183399999994,145
2025-05-28,0.8,3112.1805413166744,125.57183399999994,146
2025-05-29,0.8,3038.6636790245375,118.42902339370465,147
2025-05-30,0.8,3099.5628605770225,125.57183399999994,148
2025-05-31,0.8,3059.0245248979736,125.57183399999994,149
2025-06-01,0.8,2918.8101863007305,118.42902339370465,150
2025-06-02,0.8,3131.4417099064895,118.42902339370465,151
2025-06-03,0.8,3422.644918948057,118.42902339370465,152
2025-06-04,0.8,3854.2996108285934,131.85917108666445,153
2025-06-05,0.8,4000.5944280115887,135.78701971513289,154
2025-06-06,0.8,4506.443923090046,336.36859657142935,155
2025-06-07,0.8,4519.838733755414,230.59038099142793,156
2025-06-08,0.8,4491.595329706672,230.59038099142793,157
2025-06-09,0.8,4535.805128754291,230.59038099142793,158
2025-06-10,0.8,4628.498344944767,230.59038099142793,159
2025-06-11,0.8,4588.068773376126,230.59038099142793,160
2025-06-12,0.8,4635.471630328506,230.59038099142793,161
2025-06-13,0.8,4682.265854711362,230.59038099142793,162
2025-06-14,0.8,4673.140479670799,230.59038099142793,163
2025-06-15,0.8,4670.961731282792,230.59038099142793,164
2025-06-16,0.8,4653.20011778872,230.59038099142793,165
2025-06-17,0.8,4653.789087082521,230.59038099142793,166
2025-06-18,0.8,4669.085183730333,230.59038099142793,167
2025-06-19,0.8,4669.595713539858,230.59038099142793,168
2025-06-20,0.8,4612.163812306057,230.59038099142793,169
2025-06-21,0.8,4593.658528782247,230.59038099142793,170
2025-06-22,0.8,4571.224016401295,230.59038099142793,171
2025-06-23,0.8,4585.2362693384375,230.59038099142793,172
2025-06-24,0.8,4610.875954005104,230.59038099142793,173
2025-06-25,0.8,4676.299432957487,230.59038099142793,174
2025-06-26,0.8,4471.757383048635,135.01286085799,175
2025-06-27,0.8,4459.535997970959,135.01286085799,176
2025-06-28,0.8,4366.076184188633,135.01286085799,177
2025-06-29,0.8,4189.625923434268,119.38731631566347,178
2025-06-30,0.8,4174.0686610038365,119.38731631566347,179
2025-07-01,0.8,4208.575423147187,119.38731631566347,180
2025-07-02,0.8,3725.3512339765302,94.3264273333334,181
2025-07-03,0.8,3354.101201448482,88.88826866666673,182
2025-07-04,0.8,3308.5868528571436,86.68993000000006,183
2025-07-05,0.8,3192.1413434584374,86.68993000000006,184
2025-07-06,0.8,3070.107100094501,86.68993000000006,185
2025-07-07,0.8,3087.9273036096915,84.96929599999999,186
2025-07-08,0.8,3060.4450229154863,78.20219733333332,187
2025-07-09,0.8,3147.7561911283015,78.20219733333332,188
2025-07-10,0.8,3189.9183057673463,78.20219733333332,189
2025-07-11,0.8,3201.216298152977,78.20219733333332,190
2025-07-12,0.8,3179.026649038342,78.20219733333332,191
2025-07-13,0.8,3199.426532978376,86.68993000000006,192
2025-07-14,0.8,3213.6686343252127,86.68993000000006,193
2025-07-15,0.8,3177.162353113167,85.13321599999986,194
2025-07-16,0.8,3221.8801704903544,85.13321599999986,195
2025-07-17,0.8,3308.2969012068725,85.13321599999986,196
2025-07-18,0.8,3292.39870636228,85.13321599999986,197
2025-07-19,0.8,3308.0320161918044,85.13321599999986,198
2025-07-20,0.8,3378.915336477519,85.13321599999986,199
2025-07-21,0.8,3470.7483548233668,81.55933000000006,200
2025-07-22,0.8,3541.9848221627503,81.55933000000006,201
2025-07-23,0.8,3523.3161432103707,81.55933000000006,202
2025-07-24,0.8,3552.578298005197,81.55933000000006,203
2025-07-25,0.8,3513.2382405296307,81.55933000000006,204
2025-07-26,0.8,3549.836964080905,81.55933000000006,205
2025-07-27,0.8,3603.5959608428093,81.55933000000006,206
2025-07-28,0.8,3632.7581242274073,79.36275866666665,207
2025-07-29,0.8,3652.183573137195,79.36275866666665,208
2025-07-30,0.8,3700.3839160117986,79.36275866666665,209
