date,variant,alpha,base_planned_cost_yuan,margin_purchase_cost_yuan,purchase_kwh,margin_kwh,reserve_segments
2025-03-02,dp_closed,0.8,43872.02494979819,1496.4680030394334,73133.3134216703,1843.8401701850562,49
2025-03-03,greedy_closed,0.8,44242.296281946496,1576.6412133022031,73805.0986697117,1924.2158525392465,0
2025-03-03,dp_fixed,0.8,44242.296281946496,1576.6412133022031,73805.0986697117,1924.2158525392465,54
2025-03-03,dp_closed,0.8,44242.296281946496,1576.6412133022031,73805.0986697117,1924.2158525392465,54
2025-03-04,greedy_closed,0.8,45096.9167981541,1694.8407089178409,75212.85395175492,2058.742399155718,0
2025-03-04,dp_fixed,0.8,45096.9167981541,1694.8407089178409,75212.85395175492,2058.742399155718,51
2025-03-04,dp_closed,0.8,45096.9167981541,1694.8407089178409,75212.85395175492,2058.742399155718,51
2025-03-05,greedy_closed,0.8,45470.86787819235,1773.5355071303375,75771.5616622766,2167.531920759823,0
2025-03-05,dp_fixed,0.8,45470.86787819235,1773.5355071303375,75771.5616622766,2167.531920759823,51
2025-03-05,dp_closed,0.8,45470.86787819235,1773.5355071303375,75771.5616622766,2167.531920759823,51
2025-03-06,greedy_closed,0.8,45544.18377481763,1779.5605090611803,75779.22008241757,2184.872781311875,0
2025-03-06,dp_fixed,0.8,45544.18377481763,1779.5605090611803,75779.22008241757,2184.872781311875,50
2025-03-06,dp_closed,0.8,45544.18377481763,1779.5605090611803,75779.22008241757,2184.872781311875,50
2025-03-07,greedy_closed,0.8,16624.340527905937,1831.3166420631526,34527.87929039485,2252.7695351284547,0
2025-03-07,dp_fixed,0.8,16624.340527905937,1831.3166420631526,34527.87929039485,2252.7695351284547,41
2025-03-07,dp_closed,0.8,16624.340527905937,1831.3166420631526,34527.87929039485,2252.7695351284547,41
2025-03-08,greedy_closed,0.8,16184.48895944871,1868.7203259927646,33653.16775327412,2302.5807493500834,0
2025-03-08,dp_fixed,0.8,16184.48895944871,1868.7203259927646,33653.16775327412,2302.5807493500834,42
