date,threshold_kwh,reserve_min_kwh,reserve_max_kwh,reserve_segments,end_soc_kwh
2025-08-26,800.0,1200.0,10240.724239204626,30,6000.0
2025-08-27,800.0,1200.0,10171.658391167111,28,6000.0
2025-08-28,800.0,1200.0,10158.594529212634,27,6000.0
2025-08-29,800.0,1200.0,10143.217699917574,25,6000.000000000001
2025-08-30,800.0,1200.0,10165.17040526477,23,6000.0
2025-08-31,800.0,1200.0,10185.8593616002,29,6000.0
2025-09-01,800.0,1200.0,10180.701656370918,29,6000.0
2025-09-02,800.0,1200.0,10246.86513974374,31,6000.0
2025-09-03,800.0,1200.0,10263.701305522263,31,6000.0
2025-09-04,800.0,1200.0,10217.93011124113,31,6000.0
2025-09-05,800.0,1200.0,10005.209153320531,25,6000.0
2025-09-06,800.0,1200.0,9913.638354656308,24,6000.0
2025-09-07,800.0,1200.0,9842.654563471153,36,6000.0
2025-09-08,800.0,1200.0,9525.060161859845,37,6000.0
2025-09-09,800.0,1200.0,9114.725881895265,43,6000.0
2025-09-10,800.0,1200.0,9104.545802327792,45,6000.0
2025-09-11,800.0,1200.0,9231.597457099619,42,6000.0
2025-09-12,800.0,1200.0,8847.077573859679,37,6000.000000000002
2025-09-13,800.0,1200.0,9396.921030326932,38,6000.000000000002
2025-09-14,800.0,1200.0,9896.494235842436,34,6000.0
2025-09-15,800.0,1200.0,9969.536119848683,30,6000.0
2025-09-16,800.0,1200.0,9943.35102225752,31,6000.0
2025-09-17,800.0,1200.0,9838.137046098378,32,6000.0
2025-09-18,800.0,1200.0,10023.876429999173,32,6000.0
2025-09-19,800.0,1200.0,9853.343220826537,31,6000.0
2025-09-20,800.0,1200.0,9773.998144964826,31,6000.000000000001
2025-09-21,800.0,1200.0,9951.561634434458,29,6000.000000000002
2025-09-22,800.0,1200.0,9901.258743323577,26,6000.0
2025-09-23,800.0,1200.0,9926.390379479555,30,6000.0
2025-09-24,800.0,1200.0,9978.978124391546,30,6000.0
2025-09-25,800.0,1200.0,10073.31755514062,34,6000.0
2025-09-26,800.0,1200.0,9986.26573663362,28,6000.0
2025-09-27,800.0,1200.0,9979.634109884686,28,6000.000000000002
2025-09-28,800.0,1200.0,10169.943240056311,31,6000.0
2025-09-29,800.0,1200.0,10177.266387722666,31,6000.0
2025-09-30,800.0,1200.0,10148.83860542323,32,6000.0
2025-10-01,800.0,1200.0,10043.038232989093,33,6000.0
2025-10-02,800.0,1200.0,10037.23521820114,29,6000.000000000001
2025-10-03,800.0,1200.0,9929.957369679772,27,6000.0
2025-10-04,800.0,1200.0,9929.99006736678,26,6000.0
2025-10-05,800.0,1200.0,10016.717081829564,30,6000.000000000001
2025-10-06,800.0,1200.0,9913.944551007211,27,6000.0
2025-10-07,800.0,1200.0,9779.055546440339,27,6000.0
2025-10-08,800.0,1200.0,9896.257059699126,27,6000.000000000002
2025-10-09,800.0,1200.0,9908.83825616347,26,6000.0
2025-10-10,800.0,1200.0,9411.7453269718,27,6000.000000000002
2025-10-11,800.0,1200.0,9462.34139826649,28,6000.000000000001
2025-10-12,800.0,1200.0,9973.140318470883,27,6000.0
2025-10-13,800.0,1200.0,9974.113083355483,28,6000.000000000002
2025-10-14,800.0,1200.0,10087.147219943006,28,6000.0
2025-10-15,800.0,1200.0,10077.495180382532,28,6000.0
2025-10-16,800.0,1200.0,10137.841921665486,30,6000.000000000001
