date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v2b_total_cost_yuan,difference_vs_v2b_yuan
2025-02-27,1,76628.58436963243,510.6205010349096,77139.20487066734,46946.17266274792,2503.023680547285,49449.1963432952,22946.042630258828,18586.294530509655,5822.872570918169,24,1,10.689051234184888,1,895.6446015387354,6000.000000000004,6000.000000000001,49449.1963432952,0.0
2025-02-28,1,35000.94268016161,506.2447581213686,35507.18743828298,18091.715628516795,1831.0721897120854,19922.78781822888,17692.041423610455,14330.553553124471,8853.106017796994,31,1,207.81257358017,8,919.3121421860026,6000.000000000001,6000.000000000001,19922.78781822888,0.0
2025-03-01,1,34652.7514346,488.92784120467115,35141.67927580467,17953.397196525828,1813.3073131158212,19766.704509641648,17369.504205567053,14069.298406509313,8182.707543413606,19,1,209.1092298291146,5,1141.6228363102257,6000.000000000001,6000.0,19766.704509641648,0.0
2025-03-02,1,75562.29640718781,4429.401200697461,79991.69760788527,46293.044246426,16492.310034379512,62785.354280805506,23030.471764418082,18654.68212917865,3257.6009059791695,48,1,2872.837470043991,21,1169.4435408596996,6000.0,6000.000000000002,62785.354280805506,0.0
2025-03-03,1,76357.92003653433,2746.442546560636,79104.36258309496,46761.34738799102,11298.334340647496,58059.68172863851,23321.284265635513,18890.24025516477,2656.171939290884,61,1,753.7850854990288,19,555.8353844434428,6000.000000000002,6000.0,58059.68172863853,-1.4551915228366852e-11
2025-03-04,1,78320.09349566014,329.16853845242764,78649.26203411257,48227.63513487599,1095.1016310482714,49322.73676592427,23171.646567311487,18769.033719522304,5047.191252990052,23,1,106.51188493974837,8,1634.0901476895444,6000.0,6000.0,49322.73676592427,0.0
2025-03-05,1,79480.65332722699,85.04136033782991,79565.69468756481,48998.17111848397,352.0111200090743,49350.18223849305,23178.40051829,18774.5044198149,9031.326572423059,14,1,11.947104954599581,3,3315.0468862190482,6000.0,6000.0,49350.18223849303,2.1827872842550278e-11
2025-03-06,1,79020.08764704401,166.16116103434607,79186.24880807835,48789.35310357993,566.7476426128549,49356.10074619279,23172.78569969263,18769.956416751033,8842.765391803427,16,1,44.91875194668444,4,3731.801024043575,6000.0,6000.0,49356.10074619279,0.0
2025-03-07,1,34300.32958420836,129.5966776869137,34429.92626189528,17813.780175873846,404.578479335276,18218.358655209122,17332.991056203904,14039.722755525163,10214.372427883198,13,1,64.470505182073,5,1963.9583084325013,6000.0,6000.000000000003,18218.358655209122,0.0
2025-03-08,1,33363.06117728162,178.74720913936022,33541.80838642098,17451.33174104517,460.095918220169,17911.427659265337,16694.837236458756,13522.818161531592,11306.649794827154,16,1,23.514027766811296,2,1418.3793384937865,6000.000000000003,6000.000000000001,17911.427659265337,0.0
2025-03-09,1,77219.76420468357,245.060158932567,77464.82436361614,47423.23173464303,921.3624675950357,48344.59420223806,23177.289623722103,18773.604595214903,9727.614285108937,14,1,9.463176075799538,1,3319.7121178162497,6000.000000000001,6000.0,48344.59420223806,0.0
2025-03-10,1,75477.85700321652,1360.894251405262,76838.75125462178,46174.72412571788,3891.5733667968407,50066.29749251472,23309.308495636644,18880.539881465684,4367.911190450813,34,1,1036.2134610559683,16,2232.9675079803733,6000.0,6000.0,50066.29749251472,0.0
2025-03-11,1,75481.65677470787,336.5618632263647,75818.21863793423,45949.59677220656,1250.3923506800688,47199.989122886625,23288.972828388134,18864.067990994386,7454.395000540486,25,1,68.48692638317073,5,3531.3745495911126,6000.0,6000.000000000004,47199.989122886625,0.0
2025-03-12,1,74920.20875388828,414.41682937886566,75334.62558326714,45615.951420386686,1243.7250288991324,46859.67644928582,23129.434246154175,18734.841739384887,8504.498393164515,28,1,94.52664353204382,7,3767.0001185738756,6000.000000000004,6000.0,46859.67644928582,0.0
2025-03-13,1,73720.42494971643,2025.666825998722,75746.09177571515,44857.9493932532,8085.203628861599,52943.1530221148,22475.988975574153,18205.551070215068,3930.0358536893964,48,1,1019.0200992611813,21,1633.4074251668458,6000.0,6000.0,52843.534614193064,99.61840792173462
2025-03-14,1,31864.833822374185,314.4558763211322,32179.289698695316,16578.24036374175,1118.7635153757687,17697.003879117517,16000.000000000002,12960.0,13109.863715361982,21,1,103.28514835786677,4,747.4704512971625,6000.0,6000.0,17608.291515154855,88.7123639626625
2025-03-15,1,31521.983470451945,626.8573786720046,32148.84084912395,16474.782888871938,2217.8018852041773,18692.584774076116,16008.997512363465,12967.287985014407,8183.006171774891,38,1,25.663204118963108,2,615.8659272586892,6000.0,6000.0,18692.584774076116,0.0
2025-03-16,1,73315.15723364976,787.1084651138306,74102.2656987636,44462.913732851375,3090.2838445195657,47553.19757737094,22315.686240040635,18075.705854432916,6511.238379822534,31,1,173.75266048916114,7,2520.5380867501376,6000.0,6000.0,47741.147505319226,-187.9499279482843
2025-03-17,1,72791.7808039537,201.88421843851668,72993.66502239222,44072.23411129029,759.7206534845001,44831.95476477479,22077.013434816796,17882.380882201604,10940.9010364437,14,1,10.622741101273066,2,4049.6386766566993,6000.0,6000.000000000003,44831.95476477479,0.0
2025-03-18,1,70226.31425253257,1175.7010934681243,71402.0153460007,42262.63677446655,5690.3920817426715,47953.02885620922,21463.333270015242,17385.299948712345,6198.023658031133,35,1,38.34965126990346,2,817.4079785610878,6000.000000000003,6000.000000000001,47953.02885620922,0.0
2025-03-19,1,70227.49464823755,664.1492454204491,70891.64389365801,42301.9326398458,3332.515160820063,45634.44780066586,21704.364986934375,17580.535639416845,7302.34409614047,20,1,3.81541789709172,1,1261.9571015415586,6000.000000000001,6000.0,45677.24807417138,-42.800273505519726
