date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,no_storage_total_cost_yuan
2025-04-07,1,60552.69031875579,1419.8383714285721,61972.528690184365,35951.44080250134,4780.612161564304,40732.052964065646,21141.20522980142,17124.376236139153,4712.980413188762,58,1,745.4419492931398,21,1323.8923366833963,6000.0,6000.000000000001,51324.27932522258
2025-04-08,1,60414.214314221455,1467.3777558917548,61881.59207011321,35896.39437604638,6370.488624345102,42266.883000391485,21153.861349433802,17134.627693041377,3509.16479705412,71,1,224.2905787848033,12,379.24398137912823,6000.000000000001,6000.000000000002,54874.33657198252
2025-04-09,1,59624.55192743919,4727.031239260809,64351.5831667,35496.426013659366,17095.82879197021,52592.25480562957,21210.784943509923,17180.73580424304,1187.2230107664523,89,1,3578.5800989265535,40,398.2245099862755,6000.000000000002,5999.999999999998,55157.86478611633
2025-04-10,1,59561.79740053953,1848.7073916624386,61410.504792201966,35550.23922742285,8016.718186846474,43566.95741426932,21015.33692781098,17022.422911526894,2956.9528759178806,71,1,834.956576782661,21,604.5118883960292,5999.999999999998,6000.0,54320.875010885575
2025-04-11,1,27523.515868018345,890.1638831312406,28413.679751149586,13636.08953842821,3130.84023534239,16766.9297737706,16000.0,12960.0,20057.02958448292,48,1,118.83732406895672,5,593.4571111612422,6000.0,6000.000000000003,28681.386982304968
2025-04-12,1,27788.37659357434,1071.2823134011996,28859.65890697554,13791.429912616686,4196.2722068406165,17987.702119457303,16000.0,12960.000000000002,16794.498356975542,41,1,654.1248077012012,15,888.2080787650624,6000.000000000003,6000.000000000002,27302.85829541914
2025-04-13,1,58474.99895484137,1969.756850271657,60444.75580511303,34826.716604373185,7980.768464608496,42807.48506898168,20515.463397417465,16617.525351908145,2270.4592762703737,75,1,1106.4360821687092,30,615.3112851277422,6000.000000000002,6000.000000000002,52511.244303536536
2025-04-14,1,57969.11498153758,1419.8179033820268,59388.93288491961,34458.88633196517,5165.483198026182,39624.36952999136,20270.85426401367,16419.39195385107,3009.438774757013,66,1,570.4300716391265,18,502.01128549057177,6000.000000000002,5999.999999999998,51447.0198181741
2025-04-15,1,58337.20790721164,1395.2183267008836,59732.42623391252,34771.4858382531,6177.394349140915,40948.88018739402,20338.940143163738,16474.541515962625,5728.598773378073,45,1,895.1391341210316,16,1722.2836971810189,5999.999999999998,6000.000000000004,50573.245615128886
2025-04-16,1,57708.838775050055,3154.2183270543137,60863.05710210437,34368.12539529997,11201.750433525242,45569.875828825214,20087.248303005603,16270.67112543454,1266.8879745333015,82,1,2110.6495082915044,35,482.18952038144073,6000.000000000004,6000.000000000002,52410.29126186895
2025-04-17,1,57290.841157270115,1570.8531772112888,58861.694334481406,34148.36710583944,6739.466370623014,40887.83347646245,20248.629787572903,16401.39012793405,2146.1123248425506,62,1,948.0085123324504,21,413.08956168292804,6000.000000000002,6000.0,50485.52198553806
2025-04-18,1,27009.032687159965,957.848376252516,27966.881063412482,13257.267209557911,3317.2802257288204,16574.54743528673,15999.999999999998,12960.0,18572.763880079146,46,1,462.7816761660375,13,531.4678743359084,6000.0,5999.999999999998,26614.78814217917
2025-04-19,1,26912.285357311113,605.9054402017185,27518.19079751283,13205.20034008105,1975.7000813800228,15180.900421461072,16000.0,12959.999999999998,17693.51154751283,36,1,117.63838806985882,6,502.39544716974007,5999.999999999998,6000.000000000003,26635.514759191752
2025-04-20,1,56708.81339378322,1780.6918497838083,58489.50524356702,33655.75826704005,7279.172863929716,40934.931130969766,20339.83271340722,16475.264497859855,2667.192144686328,58,1,685.820224537063,17,536.6218428270633,6000.000000000003,5999.999999999999,51828.241031824604
2025-04-21,1,56362.390044162756,1065.0262576043854,57427.41630176714,33379.487073151155,3693.175412824786,37072.66248597594,20347.873159156276,16481.777258916587,5044.4100181941185,57,1,374.4094376384119,17,1084.3950807230262,5999.999999999999,5999.999999999997,49743.137079674605
